statement,label
Edwin Herbert Hall did not live in the U.S.,0
Emile Berliner did not live in Russia.,1
Frederick Walton did not live in the U.S.,1
William Congreve did not live in Canada.,1
Gustaf Dalén did not live in Sweden.,0
Evangelista Torricelli did not live in the U.S.,1
George Pullman did not live in the U.K.,1
Marvin Camras did not live in France.,1
William Sturgeon did not live in the U.K.,0
Frederick Walton did not live in the U.K.,0
Clarence Birdseye did not live in the U.S.,0
Gideon Sundback did not live in Sweden/the U.S.,0
John Shepherd-Barron did not live in Scotland.,0
Edwin Link did not live in the U.K.,1
Chester Carlson did not live in the U.K.,1
Whitcomb Judson did not live in the U.S.,0
Joseph Glidden did not live in the U.S.,0
Rudolf Diesel did not live in the U.S.,1
Charles Wheatstone did not live in France.,1
John Callcott Horsley did not live in Germany.,1
Charles Goodyear did not live in the U.S.,0
Lloyd Groff Copeman did not live in the U.S.,0
Herbert Akroyd Stuart did not live in England.,0
Herbert Saffir did not live in the U.K.,1
August Horch did not live in Russia.,1
Joseph Marie Jacquard did not live in the Netherlands.,1
David Edward Hughes did not live in the U.S.,0
Yoshua Bengio did not live in Canada.,0
Ferdinand Carré did not live in the U.S.,1
Rudolf Kálmán did not live in Hungary.,0
Charles Fritts did not live in the U.S.,0
Narinder Singh Kapany did not live in India.,0
Archimedes did not live in Ancient Greece.,0
Gottlieb Daimler did not live in France.,1
Fritz Pfleumer did not live in Germany.,0
Arthur Fry did not live in the U.S.,0
Fridtjof Nansen did not live in the U.K.,1
Semyon Kirlian did not live in Russia.,0
Ignazio Porro did not live in Italy.,0
Paul Gottlieb Nipkow did not live in Denmark.,1
Edwin H. Land did not live in Sweden.,1
Lester Wire did not live in the U.S.,0
László Bíró did not live in Hungary.,0
George Eastman did not live in the U.K.,1
Galileo Galilei did not live in Italy.,0
John Atanasoff did not live in the U.S.,0
Benjamin Franklin did not live in the U.S.,0
Sir Sandford Fleming did not live in Canada.,0
Robert Moog did not live in the U.S.,0
George Washington Carver did not live in the U.S.,0
James Clerk Maxwell did not live in the U.S.,1
Hans Lippershey did not live in the U.S.,1
Fridtjof Nansen did not live in Norway.,0
Sir Sandford Fleming did not live in the U.S.,1
Willis Carrier did not live in the U.S.,0
Joseph-Armand Bombardier did not live in Canada.,0
Earle Dickson did not live in the U.S.,0
Luther George Simjian did not live in Turkey/the U.S.,0
Herbert Saffir did not live in the U.S.,0
Ignazio Porro did not live in the U.S.,1
Wallace Carothers did not live in the U.S.,0
John Wesley Hyatt did not live in the U.S.,0
James Dyson did not live in the U.K.,0
Candace Pert did not live in the U.S.,0
David Schwarz did not live in France.,1
Walter Hunt did not live in the U.S.,0
Samuel Morse did not live in Germany.,1
Yvonne Brill did not live in Canada.,0
Guglielmo Marconi did not live in the U.K.,1
Shinya Yamanaka did not live in Germany.,1
Carl Sontheimer did not live in Switzerland.,1
Sergey Brin and Larry Page did not live in the U.K.,1
Percy Spencer did not live in the U.S.,0
Henry Bessemer did not live in the U.K.,0
Ruth Handler did not live in the Netherlands.,1
Richard Leach Maddox did not live in the U.K.,0
Alfred Nobel did not live in the U.S.,1
Thomas Wedgwood did not live in the U.K.,0
Frank Bunker Gilbreth did not live in the U.S.,0
Benjamin Holt did not live in the U.S.,0
Josephine Cochrane did not live in Germany.,1
Godfrey Hounsfield did not live in Denmark.,1
Antoine Lavoisier did not live in France.,0
Carlos Glidden did not live in Scotland.,1
Maria Telkes did not live in Hungary/the U.S.,0
Robert Adler did not live in Austria/the U.S.,0
James Watt did not live in the U.S.,1
Edwin Link did not live in the U.S.,0
Igor Sikorsky did not live in the U.S.,1
Sir Humphry Davy did not live in the U.K.,0
Nikolai Basov did not live in the U.S.,1
Edwin H. Land did not live in the U.S.,0
Cai Lun did not live in Italy.,1
Mary Walton did not live in France.,1
Joseph Aspdin did not live in Switzerland.,1
James Watt did not live in Scotland.,0
Ernest Swinton did not live in the U.K.,0
Jean-Bernard-Léon Foucault did not live in France.,0
Gordon Gould did not live in the U.S.,0
Leonardo da Vinci did not live in Poland/France.,1
Ernesto Blanco did not live in the U.S.,0
George Cayley did not live in Canada.,1
John von Neumann did not live in Hungary/the U.S.,0
Gideon Sundback did not live in the U.S.,1
Ruth Benerito did not live in the U.S.,0
Robert Moog did not live in Austria/the U.S.,1
Luther George Simjian did not live in Norway.,1
Ralph H. Baer did not live in the U.S.,0
John Gorrie did not live in Italy.,1
Michael Faraday did not live in the U.K.,0
Lloyd Groff Copeman did not live in Germany.,1
Philo Farnsworth did not live in Germany.,1
Alan Turing did not live in the U.K.,0
Elisha Gray did not live in the U.S.,0
Édouard-Léon Scott de Martinville did not live in France.,0
Zhores Alferov did not live in the U.K.,1
Leon Theremin did not live in Russia.,0
Rudolf Diesel did not live in Germany.,0
Elisha Otis did not live in the U.S.,0
László Bíró did not live in the U.S.,1
Valdemar Poulsen did not live in Denmark.,0
James Murray Spangler did not live in the U.K.,1
Joseph Aspdin did not live in the U.K.,0
Hans Berger did not live in the U.S.,1
Philo Farnsworth did not live in the U.S.,0
Ralph Benjamin did not live in Italy.,1
Florence Parpart did not live in the U.K.,1
Marvin Camras did not live in the U.S.,0
Charles Babbage did not live in the U.K.,0
Charles Francis Richter did not live in France.,1
Ami Argand did not live in Switzerland.,0
Kwolek did not live in the U.S.,1
Richard Gatling did not live in the U.K.,1
Luther Simjian did not live in Turkey/the U.S.,0
Joseph Bramah did not live in the U.K.,0
Hans Geiger did not live in Austria/the U.S.,1
Alexander Graham Bell did not live in Scotland/Canada/the U.S.,0
Blaise Pascal did not live in Poland/France.,1
Charles Macintosh did not live in the U.K.,0
Narinder Singh Kapany did not live in the U.K.,1
Bette Nesmith Graham did not live in the U.S.,0
Édouard-Léon Scott de Martinville did not live in the U.K.,1
Orville and Wilbur Wright did not live in the U.S.,0
Richard Leach Maddox did not live in Austria.,1
Hans Oersted did not live in the U.S.,1
Charles Cros did not live in the U.S.,1
R. Buckminster Fuller did not live in Scotland.,1
Willis Carrier did not live in Italy.,1
Charles Cros did not live in France.,0
Thomas Savery did not live in the U.K.,0
Bartolomeo Cristofori did not live in Italy.,0
Louis Pasteur did not live in France.,0
Frederick G. Creed did not live in Sweden.,1
Alexander Fleming did not live in France.,1
Florence Parpart did not live in the U.S.,0
Henri Giffard did not live in the U.S.,1
Paul Gottlieb Nipkow did not live in Germany.,0
Hippolyte Mège-Mouriès did not live in the U.S.,1
Josephine Cochrane did not live in the U.S.,0
Mary Anderson did not live in the U.S.,0
Otis Boykin did not live in France.,1
John Callcott Horsley did not live in the U.K.,0
Jack Kilby did not live in the U.S.,0
Samuel Fox did not live in the U.K.,0
Hans Berger did not live in Germany.,0
Ernest Swinton did not live in the U.S.,1
André-Jacques Garnerin did not live in France.,0
Alexander Fleming did not live in the U.K.,0
Hans Goldschmidt did not live in the Netherlands.,1
Willem Einthoven did not live in France.,1
Garrett Morgan did not live in the U.S.,0
Richard Trevithick did not live in the U.S.,1
Georges Claude did not live in Italy.,1
Sir Isaac Newton did not live in the U.K.,0
William Kelly did not live in the U.S.,0
Thomas Wedgwood did not live in Finland.,1
Nils Bohlin did not live in Germany.,1
Albert Ghiorso did not live in the U.S.,0
George de Mestral did not live in Switzerland.,0
Carlos Glidden did not live in the U.S.,0
William Congreve did not live in the U.K.,0
John Logie Baird did not live in Japan.,1
Edouard Benedictus did not live in the U.S.,1
Alec Jeffreys did not live in France.,1
Arthur Pitney did not live in the U.S.,0
Giovanni Caselli did not live in the U.S.,1
John Gorrie did not live in the U.S.,0
Robert Chesebrough did not live in the U.S.,0
Johannes Gutenberg did not live in the U.K.,1
Maria Telkes did not live in Hungary.,1
Yoshiro Nakamatsu did not live in the U.S.,1
Chester Carlson did not live in the U.S.,0
George Pullman did not live in the U.S.,0
George Cayley did not live in the U.K.,0
John Bardeen did not live in the U.S.,0
Orville and Wilbur Wright did not live in France.,1
Archimedes did not live in the U.S.,1
Johannes Gutenberg did not live in Germany.,0
George Eastman did not live in the U.S.,0
Hans Lippershey did not live in the Netherlands.,0
Carl Elsener did not live in the U.S.,1
John Boyd Dunlop did not live in France.,1
Heinrich Hertz did not live in Germany.,0
Leonardo da Vinci did not live in Italy.,0
Nikolai Basov did not live in the Soviet Union.,0
Wilhelm Conrad Röntgen did not live in the U.S.,1
Guglielmo Marconi did not live in Italy.,0
Christian Huygens did not live in the Netherlands.,0
