statement,label
Die Stadt Krasnodar liegt nicht in Russland.,0
Die Stadt Krasnodar liegt nicht in Südafrika.,1
Die Stadt Lodz liegt nicht in Polen.,0
Die Stadt Lodz liegt nicht in der Dominikanischen Republik.,1
Die Stadt Maracay liegt nicht in Venezuela.,0
Die Stadt Maracay liegt nicht in China.,1
Die Stadt Baku liegt nicht in Aserbaidschan.,0
Die Stadt Baku liegt nicht in der Ukraine.,1
Die Stadt Baoji liegt nicht in China.,0
Die Stadt Baoji liegt nicht in Guatemala.,1
Die Stadt Addis Abeba liegt nicht in Äthiopien.,0
Die Stadt Addis Abeba liegt nicht in Indonesien.,1
Die Stadt Abidjan liegt nicht in der Republik Côte d’Ivoire.,0
Die Stadt Abidjan liegt nicht in China.,1
Die Stadt Yongzhou liegt nicht in China.,0
Die Stadt Yongzhou liegt nicht in der Ukraine.,1
Die Stadt Nanchong liegt nicht in China.,0
Die Stadt Nanchong liegt nicht in Nigeria.,1
Die Stadt Lu'an liegt nicht in China.,0
Die Stadt Lu'an liegt nicht in der Türkei.,1
Die Stadt Jiaxing liegt nicht in China.,0
Die Stadt Jiaxing liegt nicht  in der Ukraine.,1
Die Stadt Huaihua liegt nicht  in China.,0
Die Stadt Huaihua liegt nicht  in Südafrika.,1
Die Stadt Anqing liegt nicht in China.,0
Die Stadt Anqing liegt nicht in Brasilien.,1
Die Stadt Yingkou liegt nicht in China.,0
Die Stadt Yingkou liegt nicht auf den Philippinen.,1
Die Stadt Panshan liegt nicht in China.,0
Die Stadt Panshan liegt nicht in Japan.,1
Die Stadt Guatemala-Stadt liegt nicht in Guatemala.,0
Die Stadt Guatemala-Stadt liegt nicht in Kroatien.,1
Die Stadt Bauchi liegt nicht in Nigeria.,0
Die Stadt Bauchi liegt nicht im Iran.,1
Die Stadt Tokio liegt nicht in Japan.,0
Die Stadt Tokio liegt nicht in Pakistan.,1
Die Stadt Mombasa liegt nicht in Kenia.,0
Die Stadt Mombasa liegt nicht in Indien.,1
Die Stadt Ulsan liegt nicht in Südkorea.,0
Die Stadt Ulsan liegt nicht in Südafrika.,1
Die Stadt Warangal liegt nicht in Indien.,0
Die Stadt Warangal liegt nicht im Jemen.,1
Die Stadt Tiruchirappalli liegt nicht in Indien.,0
Die Stadt Tiruchirappalli liegt nicht im Irak.,1
Die Stadt Nowrangapur liegt nicht in Indien.,0
Die Stadt Nowrangapur liegt nicht in Vietnam.,1
Die Stadt Sambhaji Nagar liegt nicht in Indien.,0
Die Stadt Sambhaji Nagar liegt nicht in China.,1
Die Stadt Ajmer liegt nicht in Indien.,0
Die Stadt Ajmer liegt nicht in Russland.,1
