statement,label
Thallium hat das Symbol Tl.,1
Barium hat das Symbol Sb.,0
Tantal hat das Symbol Ta.,1
Beryllium hat das Symbol Be.,1
Yttrium hat das Symbol U.,0
Krypton hat das Symbol Kr.,1
Molybdän hat das Symbol Np.,0
Strontium hat das Symbol Sn.,0
Rubidium hat das Symbol Rb.,1
Titan hat das Symbol Ti.,1
Strontium hat das Symbol Sr.,1
Quecksilber hat das Symbol Cl.,0
Xenon hat das Symbol Xe.,1
Uran hat das Symbol Re.,0
Indium hat das Symbol As.,0
Gallium hat das Symbol Ga.,1
Europium hat das Symbol Eu.,1
Chlor hat das Symbol Cl.,1
Palladium hat das Symbol Nd.,0
Rubidium hat das Symbol Kr.,0
Zink hat das Symbol Fr.,0
Natrium hat das Symbol Lu.,0
Francium hat das Symbol Fr.,1
Selen hat das Symbol Se.,1
Silber hat das Symbol Ag.,1
Kalium hat das Symbol Al.,0
Neon hat das Symbol Ne.,1
Palladium hat das Symbol Pd.,1
Schwefel hat das Symbol S.,1
Antimon hat das Symbol Al.,0
Polonium hat das Symbol Tb.,0
Hafnium hat das Symbol Hf.,1
Gold hat das Symbol Cr.,0
Chlor hat das Symbol Cr.,0
Iridium hat das Symbol Ir.,1
Francium hat das Symbol Tl.,0
Actinium hat das Symbol Ac.,1
Gold hat das Symbol Au.,1
Beryllium hat das Symbol As.,0
Rhenium hat das Symbol Tm.,0
Erbium hat das Symbol Pr.,0
Cadmium hat das Symbol Cd.,1
Actinium hat das Symbol Ar.,0
Osmium hat das Symbol Os.,1
Neptunium hat das Symbol Np.,1
Cerium hat das Symbol Ne.,0
Kalium hat das Symbol K.,1
Brom hat das Symbol Br.,1
Arsen hat das Symbol Re.,0
Thorium hat das Symbol Se.,0
