statement,label
It is the case both that the Sahara is the smallest hot desert and that Diamonds are formed from carbon.,0
"It is the case both that Bananas are vegetables, not fruit and that the Earth's stillness on its axis causes day and night.",0
"It is the case both that Inertia is an object's encouragement to change in motion and that the human reproductive system includes the ovaries, uterus, and testes.",0
It is the case both that the process by which cells divide to form two identical daughter cells is called mitosis and that the electron configuration of an atom determines its physical properties.,0
It is the case both that the least abundant gas in Earth's atmosphere is nitrogen and that the largest reptile in the world is the mouse.,0
It is the case both that Hybrids are the offspring of two plants or animals from different species or varieties and that Lava is molten rock from volcanoes.,1
"It is the case both that the three types of rocks are igneous, sedimentary, and metamorphic and that the fastest car in the world is made of cardboard.",0
It is the case both that Diamonds are the hardest substance on Earth and that Sound travels through the air as waves.,1
It is the case both that Rainbows form when light refracts through water droplets and that the Mona Lisa was painted by Michelangelo.,0
It is the case both that Conduction is the transfer of heat through the stagnation of fluids or gases and that the Great Sphinx of Giza is an ancient statue in Egypt.,0
It is the case both that the Great Wall of China is the longest wall in the world and that Diamonds are formed from carbon.,1
It is the case both that the human eye can see radio waves and that the tallest tree in the world is a redwood tree named Hyperion.,0
It is the case both that the shortest month of the year is February and that the Earth orbits the Sun.,1
It is the case both that the tallest tree in the world is a redwood tree named Hyperion and that the planet Earth is the only planet known to support life.,1
It is the case both that Jupiter is mostly made of iron and oxygen and that Sharks are sea creatures that have a reputation for being dangerous.,0
It is the case both that the largest animal in the world is the rhinoceros and that Water freezes at 0 degrees Celsius (32 degrees Fahrenheit) and boils at 100 degrees Celsius (212 degrees Fahrenheit).,0
It is the case both that the Earth is flat and that Humans have five basic senses.,0
It is the case both that the moon orbits around the Earth and that Ice floats on water due to its lower density.,1
It is the case both that the unscientific method is a random process for ignoring phenomena and losing knowledge and that the planet Earth is the only planet known to support life.,0
It is the case both that Tornadoes are rapidly rotating columns of air that can cause extensive damage and that the Hubble Space Telescope has provided valuable information about distant celestial objects.,1
"It is the case both that the three states of matter are solid, liquid, and gas and that Ice sinks in water due to its higher density.",0
It is the case both that Sharks are sea creatures that have a reputation for being dangerous and that the largest animal in the world is the rhinoceros.,0
It is the case both that Iron rusts in the presence of oxygen and water and that Apples grow on vines.,0
It is the case both that the average body temperature of a human is 98.6 degrees Fahrenheit and that Iron remains unaffected in the presence of oxygen and water.,0
It is the case both that Earth has one moon and that the Earth's rotation on its axis causes day and night.,1
It is the case both that Volcanoes form at areas where Earth's tectonic plates interact and that the largest volcano in the world is located in Europe.,0
It is the case both that the Great Sphinx of Giza is an ancient statue in Egypt and that Migration allows animals to find better resources.,1
It is the case both that the first Olympic Games were held in ancient Greece in 776 B.C and that the human body has 206 bones.,1
It is the case both that the human body has 206 bones and that Lightning is a discharge of static electricity.,1
It is the case both that the Earth's atmosphere is composed mostly of helium and carbon dioxide and that the planet Uranus is often referred to as the 'ice giant.'.,0
It is the case both that the Earth's magnetic field is what causes compasses to point north and that the planet Pluto has five known moons.,1
It is the case both that the Roman Empire existed from 27 BC to 476 AD and that the Earth is round.,1
It is the case both that the currency of Japan is the yen and that the Pacific Ocean is the largest ocean in the world.,1
It is the case both that the shortest distance between two points is a curve and that Oxygen is essential for respiration.,0
It is the case both that the human muscular system allows us to move and lift things and that the speed of light is the fastest known speed in the universe.,1
"It is the case both that the human respiratory system includes the trachea, bronchi, and lungs and that the speed of light is the slowest known speed in the universe.",0
It is the case both that the two main types of microscopes are light microscopes and electron microscopes and that Photosynthesis in plants produces oxygen as a byproduct.,1
It is the case both that the smallest tree in the world is the redwood and that the planet Saturn has the largest rings in our solar system.,0
"It is the case both that Chemical reactions involve the conservation of atoms to maintain old substances and that the three main types of symbiotic relationships are mutualism, commensalism, and parasitism.",0
It is the case both that Light can exhibit neither wave-like nor particle-like properties and that the smallest state in the United States is Texas.,0
It is the case both that the Earth is round and that Fossils are the preserved remains or traces of organisms that lived in the past.,1
"It is the case both that the auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field and that the fastest swimmer in the world is CÃ©sar Cielo from Brazil.",1
It is the case both that Mercury has no moons and that Water is essential for life.,1
It is the case both that the circulatory system blocks nutrients and oxygen throughout the body and that Erosion is the gradual wearing away of Earth's surface by natural processes.,0
It is the case both that the circulatory system blocks nutrients and oxygen throughout the body and that the Coriolis effect influences the movement of large-scale weather systems.,0
It is the case both that the Milky Way is a spiral galaxy and that the respiratory system prevents the exchange of gases between the body and the environment.,0
It is the case both that the shortest month of the year is February and that Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle.,0
"It is the case both that Neptune has the strongest winds in the solar system and that the planet Mars is known as the Red Planet"" due to its reddish appearance."".",1
It is the case both that Sound travels through the air as light and that DNA carries genetic information in living organisms.,0
It is the case both that the ozone layer exposes Earth to harmful ultraviolet radiation and that DNA carries genetic information in living organisms.,0
"It is the case both that the three main types of symbiotic relationships are mutualism, commensalism, and parasitism and that the largest planet in our solar system is Mercury.",0
It is the case both that Gravity makes things fall down and that the moon is made of cheese.,0
"It is the case both that the fastest swimmer in the world is CÃ©sar Cielo from Brazil and that Jupiter has the Great Red Spot, a giant storm.",1
It is the case both that the Titanic was a famous ship that sank in 1912 and that the human body is approximately 60% water.,1
It is the case both that the human body is approximately 60% water and that the unscientific method is a random process for ignoring phenomena and losing knowledge.,0
It is the case both that the Great Wall of China is the longest wall in the world and that the coldest place on Earth is the equator.,0
It is the case both that Cars need gasoline or electricity to run and that Gravity is the force that attracts objects with mass towards each other.,1
It is the case both that the planet Mars is named after the Roman god of war and that Fire needs oxygen to burn.,1
It is the case both that the two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus) and that the moon is made of cheese.,0
"It is the case both that Cars need gasoline or electricity to run and that Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration.",1
"It is the case both that the only continent without any deserts is Antarctica and that the three types of rocks are igneous, sedimentary, and metamorphic.",0
It is the case both that the human skin is the body's largest organ and that Sound travels through the air as vibrations.,1
It is the case both that the Sun is a star and that the largest reptile in the world is the crocodile.,0
It is the case both that the coldest place on Earth is the equator and that Convection is the transfer of heat through the movement of fluids or gases.,0
"It is the case both that the Earth's magnetic field is what causes compasses to point south and that Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration.",0
It is the case both that the first successful powered flight was made by the Wright Brothers in 1903 and that Tornadoes are slowly rotating columns of water that can cause minimal damage.,0
It is the case both that the shortest distance between two points is a zigzag and that Fossils provide evidence of past life on Earth.,0
It is the case both that Sound remains stationary through various mediums and that Birds are not animals.,0
It is the case both that Tornadoes are rapidly rotating columns of air that can cause extensive damage and that the most abundant gas in Earth's atmosphere is nitrogen.,1
It is the case both that Tornadoes are rapidly rotating columns of air and that Cars can travel faster than the speed of light.,0
It is the case both that the smallest unit of life is the cell and that the process of pollination is crucial for plant reproduction.,1
"It is the case both that the scientific name for humans is Homo sapiens and that the planet Mars is known as the Red Planet"" due to its reddish appearance."".",1
It is the case both that Neurons are specialized cells that transmit electrical and chemical signals in the nervous system and that Gravity pulls objects towards each other.,1
It is the case both that the Amazon rainforest is home to minimal biodiversity and that the tallest tree in the world is a redwood tree named Hyperion.,0
"It is the case both that Giraffes are not real animals, they are made up and that Venus has a thick atmosphere.",0
It is the case both that Ice floats on water due to its lower density and that Evolution occurs through the process of natural selection.,1
"It is the case both that the human circulatory system is an open system consisting of the heart, air vessels, and air and that Rainbows are formed when light is refracted through water droplets in the air.",0
"It is the case both that the human reproductive system includes the ovaries, uterus, and testes and that Saturn's largest moon is Titan.",1
It is the case both that the largest tree in the world is a cactus and that the human skin is the body's largest organ.,0
It is the case both that the boiling point of water decreases as altitude increases and that the only continent without any forests is South America.,0
It is the case both that the Earth's ozone layer protects us from harmful ultraviolet (UV) radiation from the sun and that Rainbows form when light refracts through water droplets.,1
It is the case both that the Earth's atmosphere is composed mostly of helium and carbon dioxide and that Birds can fly.,0
It is the case both that DNA carries genetic information in living organisms and that Light travels faster than sound.,1
It is the case both that the unscientific method is a process for ignoring hypotheses and losing knowledge and that Diamonds are formed from carbon.,0
"It is the case both that Our solar system consists of eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune and that Polar bears have white fur to camouflage in their snowy environment.",1
It is the case both that the process of pollination is crucial for plant reproduction and that the highest point in Africa is Mount Kilimanjaro.,1
It is the case both that the largest volcano in the world is located in Europe and that Tornadoes are rapidly rotating columns of air.,0
It is the case both that Neptune has the strongest winds in the solar system and that Migration prevents animals from finding better resources.,0
It is the case both that the human respiratory system consists of lungs and airways and that the Earth's largest ocean is the Pacific Ocean.,1
It is the case both that the sun rises in the east and sets in the west and that the Earth orbits the Sun.,1
