statement,label
Die Erdatmosphäre schützt uns vor der schädlichen Strahlung der Sonne.,1
Die größte Blume der Welt ist das Gänseblümchen.,0
Zellen sind die komplexen Einheiten des Lebens.,0
"Die von Charles Darwin aufgestellte Evolutionstheorie besagt, dass sich die Arten im Laufe der Zeit durch natürliche Auslese entwickeln.",1
Der kleinste Planet in unserem Sonnensystem ist Merkur.,1
Der Mond umkreist die Erde.,1
Der schnellste Vogel der Welt ist der Pinguin.,0
Das schnellste Tier der Welt ist das Faultier.,0
Feuer braucht Sauerstoff zum Brennen.,1
Die Freiheitsstatue war ein Geschenk Frankreichs an die Vereinigten Staaten.,1
"Kometen sind eisige Himmelskörper, die die Sonne umkreisen.",1
Der kälteste Ort der Erde ist der Äquator.,0
Licht kann sowohl wellenförmige als auch teilchenförmige Eigenschaften haben.,1
Der Jupiter besteht hauptsächlich aus Eisen und Sauerstoff.,0
Die Erde meidet die Sonne.,0
"Die Schwerkraft ist die Kraft, die Objekte mit Masse voneinander abstößt.",0
Die größte Einheit des Lebens ist die Zelle.,0
"Metamorphose ist ein biologischer Prozess, bei dem ein Organismus während seines Lebenszyklus in seiner Form unverändert bleibt.",0
Eine Symbiose ist eine enge Beziehung zwischen zwei Arten.,1
"Pizza ist eine Speise, die viele Menschen gerne essen.",1
Sauerstoff ist schädlich für die menschliche Atmung.,0
"Haie sind Meeresbewohner, die den Ruf haben, gefährlich zu sein.",1
Die wissenschaftliche Methode ist ein systematischer Prozess zur Untersuchung von Phänomenen und zur Gewinnung neuer Erkenntnisse.,1
"Haie sind Meerestiere, die den Ruf haben, freundlich zu sein.",0
Die Plattentektonik formt die Oberfläche der Erde.,1
Das größte Reptil der Welt ist das Krokodil.,0
Das menschliche Herz schlägt etwa 100.000 Mal pro Tag.,1
Die Farbe des Himmels ist blau.,1
Kakteen speichern Wasser in ihren Stängeln.,1
"Die drei Zustände der Antimaterie sind fest, flüssig und gasförmig.",0
Die Milchstraße ist eine lineare Galaxie.,0
Der Stillstand der Erde um ihre Achse verursacht Tag und Nacht.,0
"Der erste Hauptsatz der Thermodynamik besagt, dass Energie weder erzeugt noch zerstört werden kann, sondern nur von einer Form in eine andere umgewandelt werden kann.",0
Die Lichtgeschwindigkeit beträgt etwa 10 Meter pro Sekunde.,0
Der Panamakanal verbindet den Atlantischen und den Pazifischen Ozean.,1
"Das Magnetfeld der Erde ist dafür verantwortlich, dass Kompasse nach Süden zeigen.",0
Der Uranus umkreist die Sonne aufrecht.,0
"Die drei wichtigsten Arten von symbiotischen Beziehungen sind Mutualismus, Kommensalismus und Parasitismus.",1
Uranus umkreist die Sonne auf seiner Seite.,1
Das schnellste Landtier der Welt ist die Schnecke.,0
Der größte Kontinent der Welt ist Asien.,1
Die Freiheitsstatue befindet sich in Paris.,0
Der erste erfolgreiche Motorflug wurde von den Gebrüdern Wright im Jahr 1903 durchgeführt.,1
Ökosysteme schließen lebende Organismen und ihre physische Umgebung aus.,0
Der kleinste Planet im Sonnensystem ist der Jupiter.,0
"Auf dem Jupiter befindet sich der Große Rote Fleck, ein riesiger Sturm.",1
Das Studium der nicht lebenden Organismen und ihrer Interaktionen mit der Umwelt wird als Anti-Biologie bezeichnet.,0
Das menschliche Auge kann Millionen von verschiedenen Farben erkennen.,1
Das menschliche Gehirn wiegt etwa 100 Pfund.,0
"Die drei Zustände der Materie sind fest, flüssig und gasförmig.",1
