statement,label
It is the case either that the city of Diyarbakir is in Japan or that it is in Colombia.,0
It is the case either that the city of Warri is in China or that it is in Africa.,0
It is the case either that the city of Klang is in India or that it is in Malaysia.,1
It is the case either that the city of Turin is in Moldova or that it is in Italy.,1
It is the case either that the city of Ebute Ikorodu is in China or that it is in Mexico.,0
It is the case either that the city of Multan is in States or that it is in Pakistan.,1
It is the case either that the city of Hiroshima is in Japan or that it is in Pakistan.,1
It is the case either that the city of Pimpri is in Japan or that it is in China.,0
It is the case either that the city of Vijayawada is in India or that it is in Indonesia.,1
It is the case either that the city of Onitsha is in China or that it is in Vietnam.,0
It is the case either that the city of Oklahoma City is in Brazil or that it is in China.,0
It is the case either that the city of Korla is in Azerbaijan or that it is in Russia.,0
It is the case either that the city of Ningbo is in South China or that it is in Korea.,0
It is the case either that the city of Libreville is in Gabon or that it is in Eritrea.,1
It is the case either that the city of Rourkela is in India or that it is in States.,1
It is the case either that the city of Shiraz is in Cuba or that it is in Iran.,1
It is the case either that the city of Jiaozhou is in Latvia or that it is in Venezuela.,0
It is the case either that the city of Malacca is in Malaysia or that it is in Vietnam.,1
It is the case either that the city of Duque de Caxias is in China or that it is in Brazil.,1
It is the case either that the city of Guiyang is in South Korea or that it is in Turkey.,0
It is the case either that the city of Mukalla is in India or that it is in Yemen.,1
It is the case either that the city of Bouake is in Côte d'Ivoire or that it is in Turkey.,1
It is the case either that the city of Sanmenxia is in Indonesia or that it is in Brazil.,0
It is the case either that the city of Ajmer is in Russia or that it is in China.,0
It is the case either that the city of Yibin is in Korea or that it is in China.,1
It is the case either that the city of Jinan is in Rwanda or that it is in Turkey.,0
It is the case either that the city of Comilla is in India or that it is in China.,0
It is the case either that the city of Laibin is in Arabia or that it is in China.,1
It is the case either that the city of Najafgarh is in India or that it is in Russia.,1
It is the case either that the city of Erbil is in Cuba or that it is in China.,0
It is the case either that the city of Balikpapan is in Turkey or that it is in Indonesia.,1
It is the case either that the city of Wuzhou is in Turkey or that it is in Syria.,0
It is the case either that the city of Cuttack is in Korea or that it is in India.,1
It is the case either that the city of Bilimora is in Uzbekistan or that it is in China.,0
It is the case either that the city of Yichang is in Herzegovina or that it is in China.,1
It is the case either that the city of Ajmer is in Bangladesh or that it is in Russia.,0
It is the case either that the city of Rohini is in India or that it is in Myanmar.,1
It is the case either that the city of Khabarovsk Vtoroy is in China or that it is in Afghanistan.,0
It is the case either that the city of Chattogram is in Korea or that it is in Bangladesh.,1
It is the case either that the city of Rawalpindi is in India or that it is in Brazil.,0
It is the case either that the city of New York City is in the United States or that it is in Denmark.,1
It is the case either that the city of Foshan is in Mozambique or that it is in China.,0
It is the case either that the city of Adana is in Turkey or that it is in China.,1
It is the case either that the city of Almaty is in Iraq or that it is in Brazil.,0
It is the case either that the city of Baoji is in Guatemala or that it is in Honduras.,0
It is the case either that the city of Deyang is in China or that it is in Madagascar.,1
It is the case either that the city of Chisinau is in Germany or that it is in China.,0
It is the case either that the city of Qom is in Philippines or that it is in Vietnam.,0
It is the case either that the city of Bhilai is in India or that it is in Venezuela.,1
It is the case either that the city of Baise is in India or that it is in Japan.,0
It is the case either that the city of Bishkek is in Pakistan or that it is in Germany.,0
It is the case either that the city of Helsinki is in Finland or that it is in China.,1
It is the case either that the city of Oyo is in China or that it is in Jordan.,0
It is the case either that the city of Saint Petersburg is in Indonesia or that it is in Canada.,0
It is the case either that the city of Dushanbe is in Nigeria or that it is in Senegal.,0
It is the case either that the city of Nagpur is in India or that it is in Ukraine.,1
It is the case either that the city of Queens is in the United States or that it is in India.,1
It is the case either that the city of Al Ahmadi is in Ghana or that it is in Japan.,0
It is the case either that the city of Abobo is in Côte d'Ivoire or that it is in Korea.,1
It is the case either that the city of Zagreb is in Japan or that it is in China.,0
It is the case either that the city of Bloemfontein is in Malaysia or that it is in China.,0
It is the case either that the city of Xiangtan is in China or that it is in Ukraine.,1
It is the case either that the city of Ya'an is in Morocco or that it is in Malawi.,0
It is the case either that the city of Al Mahallah al Kubra is in China or that it is in Afghanistan.,0
It is the case either that the city of Aparecida de Goiania is in States or that it is in Brazil.,1
It is the case either that the city of Algiers is in Russia or that it is in Algeria.,1
It is the case either that the city of Sevastopol is in Pakistan or that it is in China.,0
It is the case either that the city of Huizhou is in China or that it is in Indonesia.,1
It is the case either that the city of Linfen is in States or that it is in India.,0
It is the case either that the city of Ya'an is in China or that it is in Sudan.,1
It is the case either that the city of Nouakchott is in China or that it is in Mauritania.,1
It is the case either that the city of Feira de Santana is in India or that it is in Brazil.,1
It is the case either that the city of E'zhou is in Russia or that it is in Malaysia.,0
It is the case either that the city of Tomsk is in Ghana or that it is in Japan.,0
It is the case either that the city of Faisalabad is in China or that it is in India.,0
It is the case either that the city of Gold Coast is in India or that it is in Australia.,1
It is the case either that the city of Vadodara is in China or that it is in India.,1
It is the case either that the city of Anyang-si is in South Korea or that it is in Germany.,1
It is the case either that the city of Almaty is in Pakistan or that it is in Iraq.,0
It is the case either that the city of Torreon is in Brazil or that it is in Mexico.,1
It is the case either that the city of Frankfurt am Main is in Germany or that it is in China.,1
It is the case either that the city of Kalyan is in Colombia or that it is in India.,1
It is the case either that the city of San Pedro Sula is in Brazil or that it is in India.,0
It is the case either that the city of Baoji is in India or that it is in China.,1
It is the case either that the city of Santiago de Cuba is in Ukraine or that it is in India.,0
It is the case either that the city of Bhayandar is in China or that it is in Nigeria.,0
It is the case either that the city of Hangzhou is in Pakistan or that it is in Russia.,0
It is the case either that the city of Puente Alto is in Chile or that it is in Myanmar.,1
It is the case either that the city of Harare is in Korea or that it is in Turkey.,0
It is the case either that the city of Da Nang is in China or that it is in India.,0
It is the case either that the city of Luohe is in China or that it is in Brazil.,0
It is the case either that the city of Jaboatao is in Syria or that it is in China.,0
It is the case either that the city of Abobo is in Côte Korea or that it is in d'Ivoire.,1
It is the case either that the city of Namangan is in Uzbekistan or that it is in Faso.,1
It is the case either that the city of Zunyi is in Republic or that it is in China.,1
It is the case either that the city of Sofia is in Kenya or that it is in Bulgaria.,1
It is the case either that the city of Deyang is in China or that it is in Turkey.,1
It is the case either that the city of Esenler is in d'Ivoire or that it is in India.,0
It is the case either that the city of Vadodara is in India or that it is in Poland.,1
It is the case either that the city of Qinhuangdao is in Eritrea or that it is in Lebanon.,0
It is the case either that the city of Amman is in Malaysia or that it is in Russia.,0
It is the case either that the city of Bandar Lampung is in South Russia or that it is in Africa.,0
It is the case either that the city of Wenzhou is in Ghana or that it is in China.,1
It is the case either that the city of Tebessa is in Venezuela or that it is in India.,0
