statement,label
Edwin Herbert Hall lebte nicht in den Vereinigten Staaten.,0
Emile Berliner lebte nicht in Russland.,1
Frederick Walton lebte nicht in den U.S.A.,1
William Congreve lebte nicht in Kanada.,1
Gustaf Dalén lebte nicht in Schweden.,0
Evangelista Torricelli lebte nicht in den U.S.A.,1
George Pullman lebte nicht im Vereinigten Königreich.,1
Marvin Camras lebte nicht in Frankreich.,1
William Sturgeon lebte nicht im Vereinigten Königreich.,0
Frederick Walton lebte nicht im Vereinigten Königreich.,0
Clarence Birdseye lebte nicht in den U.S.A.,0
Gideon Sundback lebte nicht in Schweden/den U.S.A.,0
John Shepherd-Barron lebte nicht in Schottland.,0
Edwin Link lebte nicht im Vereinigten Königreich.,1
Chester Carlson lebte nicht im Vereinigten Königreich.,1
Whitcomb Judson lebte nicht in den U.S.A.,0
Joseph Glidden lebte nicht in den U.S.A.,0
Rudolf Diesel lebte nicht in den U.S.A.,1
Charles Wheatstone lebte nicht in Frankreich.,1
John Callcott Horsley lebte nicht in Deutschland.,1
Charles Goodyear lebte nicht in den U.S.A.,0
Lloyd Groff Copeman lebte nicht in den U.S.A.,0
Herbert Akroyd Stuart lebte nicht in England.,0
Herbert Saffir lebte nicht im Vereinigten Königreich.,1
August Horch lebte nicht in Russland.,1
Joseph Marie Jacquard lebte nicht in den Niederlanden.,1
David Edward Hughes lebte nicht in den U.S.A.,0
Yoshua Bengio lebte nicht in Kanada.,0
Ferdinand Carré lebte nicht in den Vereinigten Staaten.,1
Rudolf Kálmán lebte nicht in Ungarn.,0
Charles Fritts lebte nicht in den Vereinigten Staaten.,0
Narinder Singh Kapany lebte nicht in Indien.,0
Archimedes lebte nicht im antiken Griechenland.,0
Gottlieb Daimler lebte nicht in Frankreich.,1
Fritz Pfleumer lebte nicht in Deutschland.,0
Arthur Fry lebte nicht in den U.S.A.,0
Fridtjof Nansen lebte nicht im Vereinigten Königreich.,1
Semyon Kirlian lebte nicht in Russland.,0
Ignazio Porro lebte nicht in Italien.,0
Paul Gottlieb Nipkow lebte nicht in Dänemark.,1
Edwin H. Land lebte nicht in Schweden.,1
Lester Wire lebte nicht in den U.S.A.,0
László Bíró lebte nicht in Ungarn.,0
George Eastman lebte nicht im Vereinigten Königreich.,1
Galileo Galilei lebte nicht in Italien.,0
John Atanasoff lebte nicht in den U.S.A.,0
Benjamin Franklin lebte nicht in den USA.,0
Sir Sandford Fleming lebte nicht in Kanada.,0
Robert Moog lebte nicht in den U.S.A.,0
George Washington Carver lebte nicht in den USA.,0
