statement,label
It is the case either that Xenon has the symbol Cr or that it has the symbol F.,0
It is the case either that Niobium has the symbol Nb or that it has the symbol Cl.,1
It is the case either that Calcium has the symbol Ba or that it has the symbol P.,0
It is the case either that Platinum has the symbol Pd or that it has the symbol La.,0
It is the case either that Tungsten has the symbol B or that it has the symbol Zr.,0
It is the case either that Molybdenum has the symbol Mo or that it has the symbol In.,1
It is the case either that Thallium has the symbol Tl or that it has the symbol Co.,1
It is the case either that Carbon has the symbol C or that it has the symbol Cs.,1
It is the case either that Calcium has the symbol P or that it has the symbol Eu.,0
It is the case either that Cobalt has the symbol Sc or that it has the symbol Lu.,0
It is the case either that Lanthanum has the symbol Po or that it has the symbol Ba.,0
It is the case either that Osmium has the symbol Np or that it has the symbol Os.,1
It is the case either that Thallium has the symbol P or that it has the symbol Tl.,1
It is the case either that Technetium has the symbol B or that it has the symbol Ag.,0
It is the case either that Cesium has the symbol Cr or that it has the symbol Tc.,0
It is the case either that Scandium has the symbol Sc or that it has the symbol Pt.,1
It is the case either that Yttrium has the symbol Dy or that it has the symbol U.,0
It is the case either that Zinc has the symbol Fr or that it has the symbol P.,0
It is the case either that Neptunium has the symbol Na or that it has the symbol Tl.,0
It is the case either that Carbon has the symbol C or that it has the symbol Au.,1
It is the case either that Silver has the symbol Ag or that it has the symbol Sr.,1
It is the case either that Palladium has the symbol As or that it has the symbol Nd.,0
It is the case either that Ytterbium has the symbol Mo or that it has the symbol Nd.,0
It is the case either that Europium has the symbol Au or that it has the symbol Ga.,0
It is the case either that Iron has the symbol Fe or that it has the symbol As.,1
It is the case either that Hydrogen has the symbol Cr or that it has the symbol Pt.,0
It is the case either that Cadmium has the symbol Np or that it has the symbol Ir.,0
It is the case either that Beryllium has the symbol Be or that it has the symbol Si.,1
It is the case either that Manganese has the symbol Gd or that it has the symbol Sr.,0
It is the case either that Iridium has the symbol Au or that it has the symbol Fe.,0
It is the case either that Europium has the symbol Eu or that it has the symbol Tm.,1
It is the case either that Chlorine has the symbol Ag or that it has the symbol Cl.,1
It is the case either that Tungsten has the symbol Sr or that it has the symbol W.,1
It is the case either that Lutetium has the symbol Be or that it has the symbol La.,0
It is the case either that Rhenium has the symbol Re or that it has the symbol Ne.,1
It is the case either that Uranium has the symbol Re or that it has the symbol Co.,0
It is the case either that Dysprosium has the symbol U or that it has the symbol Rh.,0
It is the case either that Neodymium has the symbol Zn or that it has the symbol Ac.,0
It is the case either that Ytterbium has the symbol Yb or that it has the symbol Pa.,1
It is the case either that Iodine has the symbol Nb or that it has the symbol K.,0
It is the case either that Arsenic has the symbol As or that it has the symbol Pt.,1
It is the case either that Molybdenum has the symbol Os or that it has the symbol Np.,0
