statement,label
The salmon is not a fish.,0
The frog is not a bird.,1
The lobster is not a crustacean.,0
The raccoon is not a mammal.,0
The horse is not a mammal.,0
The giant anteater is not a fish.,1
The aardvark is not a fish.,1
The hummingbird is not a bird.,0
The armadillo is not a mammal.,0
The bee is not a bird.,1
The gorilla is not a mammal.,0
The cheetah is not a mammal.,0
The zebra is not a mammal.,0
The tapir is not a mammal.,0
The rabbit is not a mammal.,0
The platypus is not a bird.,1
The moose is not a bird.,1
The kangaroo is not a crustacean.,1
The camel is not a amphibian.,1
The lion is not a mammal.,0
The deer is not a mammal.,0
The penguin is not a bird.,0
The seahorse is not a fish.,0
The chicken is not a bird.,0
The mongoose is not a bird.,1
The cassowary is not a bird.,0
The goat is not a bird.,1
The tuna is not a mammal.,1
The swan is not a bird.,0
The peacock is not a bird.,0
The walrus is not a mollusk.,1
The seagull is not a bird.,0
The cow is not a mammal.,0
The flamingo is not a bird.,0
The sparrow is not a mammal.,1
The panda is not a bird.,1
The aardvark is not a mammal.,0
The slug is not a mammal.,1
The horse is not a mollusk.,1
The rabbit is not a bird.,1
The tarantula is not a arachnid.,0
The rat is not a bird.,1
The slug is not a mollusk.,0
The hippopotamus is not a reptile.,1
The porcupine is not a mammal.,0
The sea turtle is not a fish.,1
The manta ray is not a mammal.,1
The parrot is not a bird.,0
The parrot is not a mammal.,1
The deer is not a bird.,1
The cow is not a bird.,1
The salmon is not a reptile.,1
The chimpanzee is not a fish.,1
The skunk is not a mammal.,0
The axolotl is not a reptile.,1
The frog is not a amphibian.,0
The camel is not a mammal.,0
The goldfish is not a mammal.,1
The penguin is not a mammal.,1
The armadillo is not a reptile.,1
The koala is not a mammal.,0
The lion is not a bird.,1
The bat is not a mammal.,0
The eagle is not a mammal.,1
The beaver is not a mammal.,0
The gecko is not a reptile.,0
The dolphin is not a crustacean.,1
The elephant is not a mammal.,0
The crocodile is not a mammal.,1
The peacock is not a mammal.,1
The otter is not a fish.,1
The cheetah is not a insect.,1
The hyena is not a bird.,1
The tarantula is not a insect.,1
The squirrel is not a mammal.,0
The chimpanzee is not a mammal.,0
The rat is not a mammal.,0
The hedgehog is not a mammal.,0
The cat is not a mammal.,0
The hyena is not a mammal.,0
The gecko is not a crustacean.,1
The ostrich is not a bird.,0
The snake is not a reptile.,0
The shark is not a mammal.,1
The iguana is not a reptile.,0
The beaver is not a bird.,1
The swan is not a reptile.,1
The panda is not a mammal.,0
The bee is not a insect.,0
The llama is not a mammal.,0
The flamingo is not a mammal.,1
The tuna is not a fish.,0
The wolverine is not a mammal.,0
The goldfish is not a fish.,0
The zebra is not a fish.,1
The polar bear is not a fish.,1
The whale is not a fish.,1
The seagull is not a mammal.,1
The bison is not a mammal.,0
The platypus is not a mammal.,0
The cat is not a bird.,1
The mongoose is not a mammal.,0
The wolverine is not a bird.,1
The squirrel is not a bird.,1
The lobster is not a mammal.,1
The cassowary is not a mammal.,1
The hamster is not a mammal.,0
The tiger is not a amphibian.,1
The alpaca is not a bird.,1
The koala is not a fish.,1
The jellyfish is not a cnidarian.,0
The shark is not a fish.,0
The gazelle is not a mammal.,0
The octopus is not a fish.,1
The dolphin is not a mammal.,0
The tortoise is not a reptile.,0
The leopard is not a bird.,1
The bison is not a amphibian.,1
The dog is not a bird.,1
The axolotl is not a amphibian.,0
The hamster is not a fish.,1
The tortoise is not a cnidarian.,1
The iguana is not a bird.,1
The eagle is not a bird.,0
The hippopotamus is not a mammal.,0
The jellyfish is not a mammal.,1
The chicken is not a mammal.,1
The raccoon is not a mollusk.,1
The octopus is not a mollusk.,0
The otter is not a mammal.,0
The walrus is not a mammal.,0
The hummingbird is not a mammal.,1
The giraffe is not a crustacean.,1
The narwhal is not a bird.,1
The vulture is not a bird.,0
The llama is not a bird.,1
The dog is not a mammal.,0
The hedgehog is not a bird.,1
The snake is not a fish.,1
The rhinoceros is not a mammal.,0
The moose is not a mammal.,0
The tiger is not a mammal.,0
The ostrich is not a fish.,1
The porcupine is not a bird.,1
The leopard is not a mammal.,0
The gorilla is not a amphibian.,1
The whale is not a mammal.,0
The gazelle is not a mollusk.,1
The bat is not a bird.,1
The pigeon is not a bird.,0
The rhinoceros is not a reptile.,1
The seahorse is not a mammal.,1
The crocodile is not a reptile.,0
The narwhal is not a mammal.,0
The vulture is not a fish.,1
The giraffe is not a mammal.,0
The elephant is not a bird.,1
The skunk is not a reptile.,1
The sparrow is not a bird.,0
The goat is not a mammal.,0
The tapir is not a bird.,1
The pigeon is not a mammal.,1
The kangaroo is not a mammal.,0
The alpaca is not a mammal.,0
