statement,label
Der Lachs ist kein Fisch.,0
Der Frosch ist kein Vogel.,1
Der Hummer ist kein Krustentier.,0
Der Waschbär ist kein Säugetier.,0
Das Pferd ist kein Säugetier.,0
Der Riesenameisenbär ist kein Fisch.,1
Das Erdferkel ist kein Fisch.,1
Der Kolibri ist kein Vogel.,0
Das Gürteltier ist kein Säugetier.,0
Die Biene ist kein Vogel.,1
Der Gorilla ist kein Säugetier.,0
Der Gepard ist kein Säugetier.,0
Das Zebra ist kein Säugetier.,0
Der Tapir ist kein Säugetier.,0
Das Kaninchen ist kein Säugetier.,0
Das Schnabeltier ist kein Vogel.,1
Der Elch ist kein Vogel.,1
Das Känguru ist kein Krustentier.,1
Das Kamel ist eine Amphibie.,1
Der Löwe ist kein Säugetier.,0
Der Hirsch ist kein Säugetier.,0
Der Pinguin ist kein Vogel.,0
Das Seepferdchen ist kein Fisch.,0
Das Huhn ist kein Vogel.,0
Der Mungo ist kein Vogel.,1
Der Kasuar ist kein Vogel.,0
Die Ziege ist kein Vogel.,1
Der Thunfisch ist kein Säugetier.,1
Der Schwan ist kein Vogel.,0
Der Pfau ist kein Vogel.,0
Das Walross ist kein Weichtier.,1
Die Seemöwe ist kein Vogel.,0
Die Kuh ist kein Säugetier.,0
Der Flamingo ist kein Vogel.,0
Der Sperling ist kein Säugetier.,1
Der Panda ist kein Vogel.,1
Das Erdferkel ist kein Säugetier.,0
Die Schnecke ist kein Säugetier.,1
Das Pferd ist kein Weichtier.,1
Das Kaninchen ist kein Vogel.,1
Die Vogelspinne ist kein Spinnentier.,0
Die Ratte ist kein Vogel.,1
Die Schnecke ist kein Weichtier.,0
Das Nilpferd ist kein Reptil.,1
Das Stachelschwein ist kein Säugetier.,0
Die Meeresschildkröte ist kein Fisch.,1
Der Mantarochen ist kein Säugetier.,1
Der Papagei ist kein Vogel.,0
Der Papagei ist kein Säugetier.,1
Das Reh ist kein Vogel.,1
