statement,label
Thallium has the symbol Tl.,1
Barium has the symbol Sb.,0
Tantalum has the symbol Ta.,1
Beryllium has the symbol Be.,1
Yttrium has the symbol U.,0
Krypton has the symbol Kr.,1
Molybdenum has the symbol Np.,0
Strontium has the symbol Sn.,0
Rubidium has the symbol Rb.,1
Titanium has the symbol Ti.,1
Strontium has the symbol Sr.,1
Mercury has the symbol Cl.,0
Xenon has the symbol Xe.,1
Uranium has the symbol Re.,0
Indium has the symbol As.,0
Gallium has the symbol Ga.,1
Europium has the symbol Eu.,1
Chlorine has the symbol Cl.,1
Palladium has the symbol Nd.,0
Rubidium has the symbol Kr.,0
Zinc has the symbol Fr.,0
Sodium has the symbol Lu.,0
Francium has the symbol Fr.,1
Selenium has the symbol Se.,1
Silver has the symbol Ag.,1
Potassium has the symbol Al.,0
Neon has the symbol Ne.,1
Palladium has the symbol Pd.,1
Sulfur has the symbol S.,1
Antimony has the symbol Al.,0
Polonium has the symbol Tb.,0
Hafnium has the symbol Hf.,1
Gold has the symbol Cr.,0
Chlorine has the symbol Cr.,0
Iridium has the symbol Ir.,1
Francium has the symbol Tl.,0
Actinium has the symbol Ac.,1
Gold has the symbol Au.,1
Beryllium has the symbol As.,0
Rhenium has the symbol Tm.,0
Erbium has the symbol Pr.,0
Cadmium has the symbol Cd.,1
Actinium has the symbol Ar.,0
Osmium has the symbol Os.,1
Neptunium has the symbol Np.,1
Cerium has the symbol Ne.,0
Potassium has the symbol K.,1
Bromine has the symbol Br.,1
Arsenic has the symbol Re.,0
Thorium has the symbol Se.,0
Calcium has the symbol Ca.,1
Zirconium has the symbol Zr.,1
Dysprosium has the symbol U.,0
Boron has the symbol B.,1
Silver has the symbol Sb.,0
Phosphorus has the symbol P.,1
Xenon has the symbol F.,0
Lutetium has the symbol Lu.,1
Phosphorus has the symbol Zn.,0
Fluorine has the symbol N.,0
Magnesium has the symbol Mg.,1
Neon has the symbol Lu.,0
Ruthenium has the symbol Au.,0
Thulium has the symbol Tm.,1
Holmium has the symbol Ho.,1
Bromine has the symbol Mo.,0
Bismuth has the symbol Bi.,1
Promethium has the symbol Pm.,1
Rhodium has the symbol Rh.,1
Niobium has the symbol Nb.,1
Selenium has the symbol Na.,0
Aluminum has the symbol Sc.,0
Ytterbium has the symbol Mo.,0
Lithium has the symbol Sb.,0
Iron has the symbol Tl.,0
Cadmium has the symbol Ir.,0
Mercury has the symbol Hg.,1
Oxygen has the symbol O.,1
Indium has the symbol In.,1
Carbon has the symbol C.,1
Lithium has the symbol Li.,1
Tungsten has the symbol Zr.,0
Protactinium has the symbol Pa.,1
Gallium has the symbol Cs.,0
Manganese has the symbol Gd.,0
Calcium has the symbol P.,0
Chromium has the symbol Ru.,0
Cobalt has the symbol Co.,1
Cesium has the symbol Cs.,1
Tungsten has the symbol W.,1
Sodium has the symbol Na.,1
Ytterbium has the symbol Yb.,1
Rhenium has the symbol Re.,1
Argon has the symbol Co.,0
Zinc has the symbol Zn.,1
Uranium has the symbol U.,1
Ruthenium has the symbol Ru.,1
Magnesium has the symbol Br.,0
Iodine has the symbol I.,1
Zirconium has the symbol Eu.,0
Rhodium has the symbol Sn.,0
Bismuth has the symbol La.,0
Nitrogen has the symbol La.,0
Oxygen has the symbol Ne.,0
Lutetium has the symbol Be.,0
Praseodymium has the symbol Sc.,0
Germanium has the symbol Ge.,1
Terbium has the symbol Tb.,1
Argon has the symbol Ar.,1
Scandium has the symbol Rn.,0
Erbium has the symbol Er.,1
Chromium has the symbol Cr.,1
Astatine has the symbol At.,1
Nickel has the symbol Ni.,1
Praseodymium has the symbol Pr.,1
Yttrium has the symbol Y.,1
Tellurium has the symbol Te.,1
Niobium has the symbol Rh.,0
Neodymium has the symbol Ac.,0
Fluorine has the symbol F.,1
Vanadium has the symbol V.,1
Thallium has the symbol Sr.,0
Samarium has the symbol Pr.,0
Hydrogen has the symbol Pt.,0
Neptunium has the symbol Na.,0
Platinum has the symbol La.,0
Tin has the symbol Be.,0
Thorium has the symbol Th.,1
Samarium has the symbol Sm.,1
Hydrogen has the symbol H.,1
Silicon has the symbol Si.,1
Barium has the symbol Ba.,1
Lanthanum has the symbol La.,1
Cerium has the symbol Ce.,1
Silicon has the symbol Rn.,0
Lanthanum has the symbol Po.,0
Molybdenum has the symbol Mo.,1
Gadolinium has the symbol Hg.,0
Hafnium has the symbol Nd.,0
Arsenic has the symbol As.,1
Aluminum has the symbol Al.,1
Copper has the symbol Cu.,1
Promethium has the symbol Dy.,0
Holmium has the symbol Tb.,0
Iron has the symbol Fe.,1
Technetium has the symbol Tc.,1
Technetium has the symbol Ag.,0
Cobalt has the symbol Lu.,0
Helium has the symbol Xe.,0
Nickel has the symbol Rb.,0
Krypton has the symbol Nb.,0
Boron has the symbol Pm.,0
Copper has the symbol Ta.,0
Titanium has the symbol B.,0
Thulium has the symbol Ne.,0
Osmium has the symbol Rn.,0
Neodymium has the symbol Nd.,1
Iridium has the symbol Fe.,0
Cesium has the symbol Tc.,0
Dysprosium has the symbol Dy.,1
Europium has the symbol Ga.,0
Gadolinium has the symbol Gd.,1
Helium has the symbol He.,1
Radon has the symbol Rn.,1
Carbon has the symbol In.,0
Germanium has the symbol Br.,0
Tellurium has the symbol O.,0
Lead has the symbol Na.,0
Polonium has the symbol Po.,1
Platinum has the symbol Pt.,1
Sulfur has the symbol Cs.,0
Radium has the symbol Sm.,0
Antimony has the symbol Sb.,1
Protactinium has the symbol Ir.,0
Astatine has the symbol Mg.,0
Tin has the symbol Sn.,1
Iodine has the symbol Nb.,0
Terbium has the symbol Ta.,0
Tantalum has the symbol Cs.,0
Manganese has the symbol Mn.,1
Radon has the symbol H.,0
Lead has the symbol Pb.,1
Vanadium has the symbol Ba.,0
Radium has the symbol Ra.,1
Nitrogen has the symbol N.,1
Scandium has the symbol Sc.,1
