statement,label
It is the case both that Gottlieb Daimler lived in France and that Hans Berger lived in the U.S.,0
It is the case both that Joseph Swan lived in the U.K and that Clarence Birdseye lived in the U.S.,1
It is the case both that Carlos Glidden lived in Scotland and that Richard Gatling lived in the U.S.,0
It is the case both that Henry Bessemer lived in the U.K and that Wallace Carothers lived in the U.S.,1
It is the case both that Elisha Otis lived in the U.S and that Orville and Wilbur Wright lived in the U.S.,1
It is the case both that Henry Ford lived in the U.S and that Arthur Pitney lived in the U.K.,0
It is the case both that Frederick G. Creed lived in Sweden and that Orville and Wilbur Wright lived in the U.S.,0
It is the case both that Hans Goldschmidt lived in Germany and that Georges Claude lived in France.,1
It is the case both that Wallace Carothers lived in the U.S and that Joseph Bramah lived in the U.K.,1
It is the case both that Rudolf Kálmán lived in Hungary and that James Clerk Maxwell lived in the U.K.,1
It is the case both that Christopher Cockerell lived in France and that Bartolomeo Cristofori lived in the U.S.,0
It is the case both that Sir Humphry Davy lived in the U.S and that Ralph H. Baer lived in the U.S.,0
It is the case both that Arthur Pitney lived in the U.S and that Shinya Yamanaka lived in Germany.,0
It is the case both that Alexander Graham Bell lived in Scotland/Canada/the U.S and that Ferdinand von Zeppelin lived in France.,0
It is the case both that Joseph Bramah lived in the U.K and that Joseph Bramah lived in the U.K.,1
It is the case both that Arthur Fry lived in France and that Hans Lippershey lived in the Netherlands.,0
It is the case both that Elisha Gray lived in the U.S and that John von Neumann lived in Hungary/the U.S.,1
It is the case both that Willis Carrier lived in the U.S and that Joseph Marie Jacquard lived in France.,1
It is the case both that Valdemar Poulsen lived in Denmark and that Heinrich Göbel lived in Germany.,1
It is the case both that Nils Bohlin lived in Sweden and that Blaise Pascal lived in Poland/France.,0
It is the case both that John von Neumann lived in Hungary/the U.S and that Alfred Nobel lived in Sweden.,1
It is the case both that Frederick G. Creed lived in Sweden and that Valdemar Poulsen lived in Denmark.,0
It is the case both that Herbert Saffir lived in the U.K and that Otis Boykin lived in France.,0
It is the case both that Frederick McKinley Jones lived in the U.S and that George Eastman lived in the U.K.,0
It is the case both that John Logie Baird lived in Japan and that Mary Phelps Jacob lived in Ukraine/the U.S.,0
It is the case both that James Murray Spangler lived in the U.K and that Karl Benz lived in Germany.,0
It is the case both that Sir Frank Whittle lived in the U.K and that James Murray Spangler lived in the U.K.,0
It is the case both that James Clerk Maxwell lived in the U.S and that Levi Strauss lived in the U.S.,0
It is the case both that Luther Simjian lived in Turkey/the U.S and that John Harrison lived in the U.K.,1
It is the case both that Konrad Zuse lived in Poland/France and that Ralph Benjamin lived in Italy.,0
It is the case both that George Cayley lived in the U.K and that Evangelista Torricelli lived in Italy.,1
It is the case both that Charles Francis Richter lived in the U.S and that John Walker lived in the U.K.,1
It is the case both that Guglielmo Marconi lived in Italy and that Nils Bohlin lived in Sweden.,1
It is the case both that Ferdinand Carré lived in France and that Zhores Alferov lived in the U.K.,0
It is the case both that Lester Wire lived in the U.S and that August Horch lived in Germany.,1
It is the case both that Arthur Fry lived in France and that Pierre Curie lived in France.,0
It is the case both that Yoshiro Nakamatsu lived in Japan and that John Bardeen lived in the U.S.,1
It is the case both that Charles Babbage lived in the U.K and that Charles Tellier lived in France.,1
It is the case both that Rudolf Diesel lived in Germany and that Richard Trevithick lived in the U.K.,1
It is the case both that George Washington Carver lived in the U.S and that Samuel Morse lived in the U.S.,1
It is the case both that John Harrison lived in the U.K and that Alexander Fleming lived in the U.K.,1
It is the case both that Clarence Birdseye lived in the U.S and that Karl Landsteiner lived in Austria.,1
It is the case both that Alec Jeffreys lived in the U.K and that Gustaf Dalén lived in Sweden.,1
It is the case both that Edmund Cartwright lived in the U.K and that Daisuke Inoue lived in Japan.,1
It is the case both that Charles Francis Jenkins lived in the U.S and that Archimedes lived in Ancient Greece.,1
It is the case both that John Bardeen lived in the U.S and that Henri Giffard lived in France.,1
It is the case both that Reginald Fessenden lived in the U.K and that Hans Lippershey lived in the Netherlands.,0
It is the case both that André-Jacques Garnerin lived in the Netherlands and that Jack Kilby lived in the U.S.,0
It is the case both that André-Jacques Garnerin lived in France and that Carl Sontheimer lived in the U.S.,1
It is the case both that John Ericsson lived in Sweden and that Jack Kilby lived in the U.S.,1
It is the case both that Thomas Wedgwood lived in Finland and that Charles Townes lived in the U.S.,0
It is the case both that Tim Berners-Lee lived in the U.K and that Alfred Nobel lived in the U.S.,0
It is the case both that Benjamin Rubin lived in the U.S and that Sir Humphry Davy lived in the U.K.,1
It is the case both that Christopher Cockerell lived in France and that R. Buckminster Fuller lived in Scotland.,0
