statement,label
Der Lachs ist ein Fisch.,1
Der Frosch ist ein Vogel.,0
Der Hummer ist ein Krustentier.,1
Der Waschbär ist ein Säugetier.,1
Das Pferd ist ein Säugetier.,1
Der Riesenameisenbär ist ein Fisch.,0
Das Erdferkel ist ein Fisch.,0
Der Kolibri ist ein Vogel.,1
Das Gürteltier ist ein Säugetier.,1
Die Biene ist ein Vogel.,0
Der Gorilla ist ein Säugetier.,1
Der Gepard ist ein Säugetier.,1
Das Zebra ist ein Säugetier.,1
Der Tapir ist ein Säugetier.,1
Das Kaninchen ist ein Säugetier.,1
Das Schnabeltier ist ein Vogel.,0
Der Elch ist ein Vogel.,0
Das Känguru ist ein Krustentier.,0
Das Kamel ist eine Amphibie.,0
Der Löwe ist ein Säugetier.,1
Der Hirsch ist ein Säugetier.,1
Der Pinguin ist ein Vogel.,1
Das Seepferdchen ist ein Fisch.,1
Das Huhn ist ein Vogel.,1
Der Mungo ist ein Vogel.,0
Der Kasuar ist ein Vogel.,1
Die Ziege ist ein Vogel.,0
Der Thunfisch ist ein Säugetier.,0
Der Schwan ist ein Vogel.,1
Der Pfau ist ein Vogel.,1
Das Walross ist ein Weichtier.,0
Die Seemöwe ist ein Vogel.,1
Die Kuh ist ein Säugetier.,1
Der Flamingo ist ein Vogel.,1
Der Sperling ist ein Säugetier.,0
Der Panda ist ein Vogel.,0
Das Erdferkel ist ein Säugetier.,1
Die Schnecke ist ein Säugetier.,0
Das Pferd ist ein Weichtier.,0
Das Kaninchen ist ein Vogel.,0
Die Vogelspinne ist ein Spinnentier.,1
Die Ratte ist ein Vogel.,0
Die Schnecke ist ein Weichtier.,1
Das Nilpferd ist ein Reptil.,0
Das Stachelschwein ist ein Säugetier.,1
Die Meeresschildkröte ist ein Fisch.,0
Der Mantarochen ist ein Säugetier.,0
Der Papagei ist ein Vogel.,1
Der Papagei ist ein Säugetier.,0
Das Reh ist ein Vogel.,0
