statement,label
The Earth's atmosphere doesn't protect us from harmful radiation from the sun.,0
The largest flower in the world isn't the daisy.,1
Cells aren't the complex units of life.,1
"The theory of evolution, proposed by Charles Darwin, doesn't state that species evolve over time through natural selection.",0
The smallest planet in our solar system isn't Mercury.,0
The moon doesn't orbit around the Earth.,0
The fastest bird in the world isn't the penguin.,1
The fastest animal in the world isn't the sloth.,1
Fire doesn't need oxygen to burn.,0
The Statue of Liberty wasn't a gift from France to the United States.,0
Comets aren't icy celestial objects that orbit the Sun.,0
The coldest place on Earth isn't the equator.,1
Light can't exhibit both wave-like and particle-like properties.,0
Jupiter isn't mostly made of iron and oxygen.,1
The Earth doesn't avoid the Sun.,1
Gravity isn't the force that repels objects with mass away from each other.,1
The largest unit of life isn't the cell.,1
Metamorphosis isn't a biological process in which an organism remains unchanged in form during its life cycle.,1
Symbiosis isn't a close relationship between two species.,0
Pizza isn't a type of food that many people enjoy.,0
Oxygen isn't harmful to human breathing.,1
Sharks aren't sea creatures that have a reputation for being dangerous.,0
The scientific method isn't a systematic process for investigating phenomena and acquiring new knowledge.,0
Sharks aren't sea creatures that have a reputation for being friendly.,1
Plate tectonics don't shape the Earth's surface.,0
The largest reptile in the world isn't the crocodile.,1
"The human heart doesn't beat approximately 100,000 times per day.",0
The color of the sky isn't blue.,0
Cacti don't store water in their stems.,0
"The three states of anti-matter aren't solid, liquid, and gas.",1
The Milky Way isn't a linear galaxy.,1
The Earth's stillness on its axis doesn't cause day and night.,1
"The first law of thermodynamics doesn't state that energy can be created and destroyed, only converted from one form to another.",1
The speed of light isn't approximately 10 meters per second.,1
The Panama Canal doesn't connect the Atlantic and Pacific oceans.,0
The Earth's magnetic field isn't what causes compasses to point south.,1
Uranus doesn't orbit the Sun upright.,1
"The three main types of symbiotic relationships aren't mutualism, commensalism, and parasitism.",0
Uranus doesn't orbit the Sun on its side.,0
The fastest land animal in the world isn't the snail.,1
The largest continent in the world isn't Asia.,0
The Statue of Liberty isn't located in Paris.,1
The first successful powered flight wasn't made by the Wright Brothers in 1903.,0
Ecosystems don't exclude living organisms and their physical environment.,1
The smallest planet in the solar system isn't Jupiter.,1
"Jupiter doesn't have the Great Red Spot, a giant storm.",0
The study of non-living organisms and their interactions with the environment isn't called anti-biology.,1
The human eye can't detect millions of different colors.,0
The human brain doesn't weigh about 100 pounds.,1
"The three states of matter aren't solid, liquid, and gas.",0
"The water cycle doesn't include evaporation, condensation, precipitation, and runoff.",0
The planet Uranus is not often referred to as the 'ice giant.',0
The sky isn't blue.,0
The human body doesn't have 12 pairs of legs.,1
The human body doesn't have 100 bones.,1
The fastest animal in the world isn't the turtle.,1
The unscientific method isn't a random process for ignoring phenomena and losing knowledge.,1
"Humans don't have six senses: sight, hearing, touch, taste, smell, and telekinesis.",1
Humans do use their brains.,1
The conservation of energy principle doesn't state that energy can be created and destroyed.,1
Lightning isn't an accumulation of static movement.,1
The longest mountain range in the world isn't located in Australia.,1
DNA doesn't erase genetic information in living organisms.,1
The average body temperature of a human isn't 98.6 degrees Fahrenheit.,0
The Earth isn't round.,0
DNA doesn't carry genetic information in living organisms.,0
The ozone layer doesn't expose Earth to harmful ultraviolet radiation.,1
Volcanic eruptions don't destroy existing land.,1
The endocrine system doesn't regulate body functions through hormones.,0
"The three main types of neurons aren't muscle neurons, sensory neurons, and extraneurons.",1
The human body isn't composed of about 60% water.,0
The Great Wall of China isn't the longest wall in the world.,0
The Grand Canyon isn't located in Europe.,1
Saturn's smallest moon isn't Titan.,1
The planet Jupiter isn't the largest planet in our solar system.,0
Comets aren't fiery celestial objects that avoid the Sun.,1
The only continent with mountains is Asia.,1
Inertia isn't an object's encouragement to change in motion.,1
Apples don't grow on vines.,1
Earth isn't 71% land.,1
The human body does need water to survive.,1
Ice doesn't sink in water due to its higher density.,1
Echoes aren't sound waves reflecting off surfaces.,0
"The theory of stasis, proposed by Charles Darwin, doesn't state that species remain constant over time through artificial selection.",1
The freezing point of water doesn't decrease as altitude increases.,1
The planet Venus isn't often referred to as the 'morning star' or the 'evening star.',0
"A day on Earth isn't approximately 365.25 days long, which is why we don't have a leap year every four years.",1
Penguins can't fly.,1
Chemical reactions don't involve the rearrangement of atoms to form new substances.,0
There aren't 50 hours in a day.,1
Iron doesn't remain unaffected in the presence of oxygen and water.,1
Volcanoes don't form far from areas where Earth's tectonic plates interact.,1
"The pH scale doesn't measure the sweetness or bitterness of a substance, ranging from 0 (most sweet) to 14 (most bitter), with 7 being neutral.",1
The human brain doesn't weigh around 3 pounds.,0
Friction isn't the force that encourages motion between two surfaces in contact.,1
The moon isn't made of cheese.,1
The most abundant gas in Earth's atmosphere isn't nitrogen.,0
The highest mountain in North America isn't Denali.,0
The atomic number of an element doesn't represent the number of electrons in its nucleus.,1
Rainbows aren't formed when light is reflected off of dirt particles in the air.,1
Dogs are mammals.,1
Mount Everest isn't the shortest mountain in the world.,1
Penguins aren't warm-blooded and can't survive in hot climates.,1
Auroras don't occur near Earth's polar regions.,0
There are deserts in Australia.,1
The study of heredity and the variation of inherited characteristics isn't called genetics.,0
"The human body doesn't have four types of water groups: A, B, AB, and O.",1
Human digestion doesn't begin in the hand and end in the large intestine.,1
The Statue of Liberty isn't located in Tokyo.,1
Polar bears don't have white fur to camouflage in their snowy environment.,0
Vaccines don't promote infectious diseases.,1
The planet Saturn doesn't have the largest rings in our solar system.,0
The human lymphatic system doesn't help fight infections and diseases.,0
The Statue of Liberty isn't located in New York City.,0
The process of pollination isn't crucial for plant reproduction.,0
Neptune doesn't have the strongest winds in the solar system.,0
The human eye can't see radio waves.,1
The Great Barrier Reef isn't the largest coral reef system in the world.,0
Photosynthesis isn't the process by which plants convert darkness into chemical energy.,1
The fastest bird in the world isn't the penguin.,1
Snow isn't cold.,0
Mars doesn't have a thin atmosphere.,0
Earth doesn't have a magnetic field.,0
The study of substances and their interactions isn't called chemistry.,0
The Great Barrier Reef isn't the largest coral reef system in the world.,0
Fossils don't destroy evidence of past life on Earth.,1
The coldest place on Earth isn't the equator.,1
A human pregnancy typically doesn't last around 9 months.,0
Coral reefs aren't made of living organisms.,0
Tornadoes aren't stationary columns of air.,1
The two main types of cells aren't prokaryotic (with a nucleus) and eukaryotic (without a nucleus).,1
The continent of Antarctica isn't mostly covered in ice.,0
An adult human doesn't have 32 teeth.,0
The tallest mammal in the world isn't the giraffe.,0
"Humans don't have five senses: sight, hearing, touch, taste, and smell.",0
"The four fundamental forces of nature aren't anti-gravity, anti-electromagnetism, the weak nuclear force, and the strong nuclear force.",1
The largest tree in the world isn't a cactus.,1
The human skin isn't the body's largest organ.,0
