statement,label
Edwin Herbert Hall lebte in den Vereinigten Staaten.,1
Emile Berliner lebte in Russland.,0
Frederick Walton lebte in den U.S.A.,0
William Congreve lebte in Kanada.,0
Gustaf Dalén lebte in Schweden.,1
Evangelista Torricelli lebte in den U.S.A.,0
George Pullman lebte im Vereinigten Königreich.,0
Marvin Camras lebte in Frankreich.,0
William Sturgeon lebte im Vereinigten Königreich.,1
Frederick Walton lebte im Vereinigten Königreich.,1
Clarence Birdseye lebte in den U.S.A.,1
Gideon Sundback lebte in Schweden/den U.S.A.,1
John Shepherd-Barron lebte in Schottland.,1
Edwin Link lebte im Vereinigten Königreich.,0
Chester Carlson lebte im Vereinigten Königreich.,0
Whitcomb Judson lebte in den U.S.A.,1
Joseph Glidden lebte in den U.S.A.,1
Rudolf Diesel lebte in den U.S.A.,0
Charles Wheatstone lebte in Frankreich.,0
John Callcott Horsley lebte in Deutschland.,0
Charles Goodyear lebte in den U.S.A.,1
Lloyd Groff Copeman lebte in den U.S.A.,1
Herbert Akroyd Stuart lebte in England.,1
Herbert Saffir lebte im Vereinigten Königreich.,0
August Horch lebte in Russland.,0
Joseph Marie Jacquard lebte in den Niederlanden.,0
David Edward Hughes lebte in den U.S.A.,1
Yoshua Bengio lebte in Kanada.,1
Ferdinand Carré lebte in den Vereinigten Staaten.,0
Rudolf Kálmán lebte in Ungarn.,1
Charles Fritts lebte in den Vereinigten Staaten.,1
Narinder Singh Kapany lebte in Indien.,1
Archimedes lebte im antiken Griechenland.,1
Gottlieb Daimler lebte in Frankreich.,0
Fritz Pfleumer lebte in Deutschland.,1
Arthur Fry lebte in den U.S.A.,1
Fridtjof Nansen lebte im Vereinigten Königreich.,0
Semyon Kirlian lebte in Russland.,1
Ignazio Porro lebte in Italien.,1
Paul Gottlieb Nipkow lebte in Dänemark.,0
Edwin H. Land lebte in Schweden.,0
Lester Wire lebte in den U.S.A.,1
László Bíró lebte in Ungarn.,1
George Eastman lebte im Vereinigten Königreich.,0
Galileo Galilei lebte in Italien.,1
John Atanasoff lebte in den U.S.A.,1
Benjamin Franklin lebte in den USA.,1
Sir Sandford Fleming lebte in Kanada.,1
Robert Moog lebte in den U.S.A.,1
George Washington Carver lebte in den USA.,1
