statement,label
It is the case either that Wilhelm Conrad Röntgen lived in the U.S or that he/she lived in Russia.,0
It is the case either that Cai Lun lived in Russia or that he/she lived in China.,1
It is the case either that Edwin Herbert Hall lived in the U.S or that he/she lived in the U.K.,1
It is the case either that Tim Berners-Lee lived in Germany or that he/she lived in the U.S.,0
It is the case either that Herbert Akroyd Stuart lived in the U.S or that he/she lived in England.,1
It is the case either that Philo Taylor Farnsworth lived in France or that he/she lived in the U.S.,1
It is the case either that Eli Whitney lived in the U.S or that he/she lived in Canada.,1
It is the case either that Samuel Morse lived in Germany or that he/she lived in Russia.,0
It is the case either that Chester Carlson lived in the U.K or that he/she lived in Switzerland.,0
It is the case either that John Kay lived in the U.S or that he/she lived in Russia.,0
It is the case either that Edwin Link lived in France or that he/she lived in the U.K.,0
It is the case either that Yoshiro Nakamatsu lived in Sweden/the U.S or that he/she lived in Japan.,1
It is the case either that Joseph Henry lived in Austria or that he/she lived in the U.S.,1
It is the case either that Sir Sandford Fleming lived in Canada or that he/she lived in the U.S.,1
It is the case either that Henri Giffard lived in the Netherlands or that he/she lived in the U.S.,0
It is the case either that Ralph H. Baer lived in the U.K or that he/she lived in the U.S.,1
It is the case either that Henry Bessemer lived in the Netherlands or that he/she lived in the U.S.,0
It is the case either that Charles Francis Jenkins lived in Turkey/the U.S or that he/she lived in the U.S.,1
It is the case either that Florence Parpart lived in Russia or that he/she lived in the U.K.,0
It is the case either that David Schwarz lived in Croatia or that he/she lived in the U.S.,1
It is the case either that Godfrey Hounsfield lived in Canada or that he/she lived in Denmark.,0
It is the case either that Orville and Wilbur Wright lived in France or that he/she lived in Scotland.,0
It is the case either that Edwin H. Land lived in the U.S or that he/she lived in Sweden.,0
It is the case either that Igor Sikorsky lived in the U.S or that he/she lived in Japan.,0
It is the case either that Leonardo da Vinci lived in Germany or that he/she lived in Italy.,1
It is the case either that Maria Telkes lived in Hungary/the U.S or that he/she lived in the U.K.,1
It is the case either that Spencer Silver lived in the U.S or that he/she lived in the Netherlands.,1
It is the case either that Alec Jeffreys lived in the U.S or that he/she lived in France.,0
It is the case either that Frederick Walton lived in Switzerland or that he/she lived in the U.K.,1
It is the case either that Frederick Walton lived in the U.K or that he/she lived in Hungary/the U.S.,1
It is the case either that Joseph Aspdin lived in the U.K or that he/she lived in Switzerland.,0
It is the case either that Nicolas Appert lived in France or that he/she lived in the U.S.,1
It is the case either that Willem Einthoven lived in the U.S or that he/she lived in the Netherlands.,1
It is the case either that Gottlieb Daimler lived in France or that he/she lived in the U.S.,0
It is the case either that Hedy Lamarr lived in the U.S or that he/she lived in the U.K.,0
It is the case either that Sergey Brin and Larry Page lived in France or that he/she lived in the U.K.,0
It is the case either that Richard Trevithick lived in the U.K or that he/she lived in Canada.,1
It is the case either that Felix Hoffmann lived in the U.S or that he/she lived in the U.K.,0
It is the case either that Ernesto Blanco lived in the U.S or that he/she lived in the U.K.,1
It is the case either that Thomas Wedgwood lived in the U.K or that he/she lived in Italy.,1
It is the case either that James Hargreaves lived in the U.S or that he/she lived in Sweden.,0
It is the case either that Charles Francis Richter lived in the U.S or that he/she lived in the U.K.,1
It is the case either that Walter Hunt lived in the U.S or that he/she lived in Italy.,1
It is the case either that Rudolf Kálmán lived in Ancient Greece or that he/she lived in the U.K.,0
It is the case either that Charles Goodyear lived in the U.K or that he/she lived in the U.S.,1
It is the case either that Charles Wheatstone lived in the U.S or that he/she lived in France.,0
It is the case either that Albert Ghiorso lived in Norway or that he/she lived in the U.K.,0
It is the case either that Alfred Nobel lived in Italy or that he/she lived in Sweden.,1
It is the case either that Willis Carrier lived in the U.S or that he/she lived in Scotland.,1
It is the case either that Gustaf Dalén lived in the U.S or that he/she lived in Sweden.,1
It is the case either that Valdemar Poulsen lived in the U.K or that he/she lived in Scotland.,0
It is the case either that Willis Carrier lived in Italy or that he/she lived in the U.S.,1
It is the case either that Fritz Pfleumer lived in the U.K or that he/she lived in Germany.,1
It is the case either that John Ericsson lived in the U.K or that he/she lived in the U.S.,0
It is the case either that Sir Humphry Davy lived in the U.K or that he/she lived in the U.S.,1
It is the case either that Whitcomb Judson lived in France or that he/she lived in the U.S.,1
It is the case either that August Horch lived in Germany or that he/she lived in the U.S.,1
It is the case either that Hans Berger lived in Germany or that he/she lived in the U.S.,1
It is the case either that R. Buckminster Fuller lived in Scotland or that he/she lived in Turkey/the U.S.,0
It is the case either that Semyon Kirlian lived in Switzerland or that he/she lived in the U.K.,0
It is the case either that Christian Huygens lived in the Netherlands or that he/she lived in the U.S.,1
It is the case either that James West lived in the U.S or that he/she lived in France.,1
It is the case either that Biruté Galdikas lived in France or that he/she lived in the U.S.,0
It is the case either that August Horch lived in the Netherlands or that he/she lived in Germany.,1
It is the case either that Clyde Tombaugh lived in the U.S or that he/she lived in the U.K.,1
It is the case either that Marie Curie lived in Hungary or that he/she lived in the U.S.,0
