statement,label
Thallium does not have the symbol Tl.,0
Barium does not have the symbol Sb.,1
Tantalum does not have the symbol Ta.,0
Beryllium does not have the symbol Be.,0
Yttrium does not have the symbol U.,1
Krypton does not have the symbol Kr.,0
Molybdenum does not have the symbol Np.,1
Strontium does not have the symbol Sn.,1
Rubidium does not have the symbol Rb.,0
Titanium does not have the symbol Ti.,0
Strontium does not have the symbol Sr.,0
Mercury does not have the symbol Cl.,1
Xenon does not have the symbol Xe.,0
Uranium does not have the symbol Re.,1
Indium does not have the symbol As.,1
Gallium does not have the symbol Ga.,0
Europium does not have the symbol Eu.,0
Chlorine does not have the symbol Cl.,0
Palladium does not have the symbol Nd.,1
Rubidium does not have the symbol Kr.,1
Zinc does not have the symbol Fr.,1
Sodium does not have the symbol Lu.,1
Francium does not have the symbol Fr.,0
Selenium does not have the symbol Se.,0
Silver does not have the symbol Ag.,0
Potassium does not have the symbol Al.,1
Neon does not have the symbol Ne.,0
Palladium does not have the symbol Pd.,0
Sulfur does not have the symbol S.,0
Antimony does not have the symbol Al.,1
Polonium does not have the symbol Tb.,1
Hafnium does not have the symbol Hf.,0
Gold does not have the symbol Cr.,1
Chlorine does not have the symbol Cr.,1
Iridium does not have the symbol Ir.,0
Francium does not have the symbol Tl.,1
Actinium does not have the symbol Ac.,0
Gold does not have the symbol Au.,0
Beryllium does not have the symbol As.,1
Rhenium does not have the symbol Tm.,1
Erbium does not have the symbol Pr.,1
Cadmium does not have the symbol Cd.,0
Actinium does not have the symbol Ar.,1
Osmium does not have the symbol Os.,0
Neptunium does not have the symbol Np.,0
Cerium does not have the symbol Ne.,1
Potassium does not have the symbol K.,0
Bromine does not have the symbol Br.,0
Arsenic does not have the symbol Re.,1
Thorium does not have the symbol Se.,1
Calcium does not have the symbol Ca.,0
Zirconium does not have the symbol Zr.,0
Dysprosium does not have the symbol U.,1
Boron does not have the symbol B.,0
Silver does not have the symbol Sb.,1
Phosphorus does not have the symbol P.,0
Xenon does not have the symbol F.,1
Lutetium does not have the symbol Lu.,0
Phosphorus does not have the symbol Zn.,1
Fluorine does not have the symbol N.,1
Magnesium does not have the symbol Mg.,0
Neon does not have the symbol Lu.,1
Ruthenium does not have the symbol Au.,1
Thulium does not have the symbol Tm.,0
Holmium does not have the symbol Ho.,0
Bromine does not have the symbol Mo.,1
Bismuth does not have the symbol Bi.,0
Promethium does not have the symbol Pm.,0
Rhodium does not have the symbol Rh.,0
Niobium does not have the symbol Nb.,0
Selenium does not have the symbol Na.,1
Aluminum does not have the symbol Sc.,1
Ytterbium does not have the symbol Mo.,1
Lithium does not have the symbol Sb.,1
Iron does not have the symbol Tl.,1
Cadmium does not have the symbol Ir.,1
Mercury does not have the symbol Hg.,0
Oxygen does not have the symbol O.,0
Indium does not have the symbol In.,0
Carbon does not have the symbol C.,0
Lithium does not have the symbol Li.,0
Tungsten does not have the symbol Zr.,1
Protactinium does not have the symbol Pa.,0
Gallium does not have the symbol Cs.,1
Manganese does not have the symbol Gd.,1
Calcium does not have the symbol P.,1
Chromium does not have the symbol Ru.,1
Cobalt does not have the symbol Co.,0
Cesium does not have the symbol Cs.,0
Tungsten does not have the symbol W.,0
Sodium does not have the symbol Na.,0
Ytterbium does not have the symbol Yb.,0
Rhenium does not have the symbol Re.,0
Argon does not have the symbol Co.,1
Zinc does not have the symbol Zn.,0
Uranium does not have the symbol U.,0
Ruthenium does not have the symbol Ru.,0
Magnesium does not have the symbol Br.,1
Iodine does not have the symbol I.,0
Zirconium does not have the symbol Eu.,1
Rhodium does not have the symbol Sn.,1
Bismuth does not have the symbol La.,1
Nitrogen does not have the symbol La.,1
Oxygen does not have the symbol Ne.,1
Lutetium does not have the symbol Be.,1
Praseodymium does not have the symbol Sc.,1
Germanium does not have the symbol Ge.,0
Terbium does not have the symbol Tb.,0
Argon does not have the symbol Ar.,0
Scandium does not have the symbol Rn.,1
Erbium does not have the symbol Er.,0
Chromium does not have the symbol Cr.,0
Astatine does not have the symbol At.,0
Nickel does not have the symbol Ni.,0
Praseodymium does not have the symbol Pr.,0
Yttrium does not have the symbol Y.,0
Tellurium does not have the symbol Te.,0
Niobium does not have the symbol Rh.,1
Neodymium does not have the symbol Ac.,1
Fluorine does not have the symbol F.,0
Vanadium does not have the symbol V.,0
Thallium does not have the symbol Sr.,1
Samarium does not have the symbol Pr.,1
Hydrogen does not have the symbol Pt.,1
Neptunium does not have the symbol Na.,1
Platinum does not have the symbol La.,1
Tin does not have the symbol Be.,1
Thorium does not have the symbol Th.,0
Samarium does not have the symbol Sm.,0
Hydrogen does not have the symbol H.,0
Silicon does not have the symbol Si.,0
Barium does not have the symbol Ba.,0
Lanthanum does not have the symbol La.,0
Cerium does not have the symbol Ce.,0
Silicon does not have the symbol Rn.,1
Lanthanum does not have the symbol Po.,1
Molybdenum does not have the symbol Mo.,0
Gadolinium does not have the symbol Hg.,1
Hafnium does not have the symbol Nd.,1
Arsenic does not have the symbol As.,0
Aluminum does not have the symbol Al.,0
Copper does not have the symbol Cu.,0
Promethium does not have the symbol Dy.,1
Holmium does not have the symbol Tb.,1
Iron does not have the symbol Fe.,0
Technetium does not have the symbol Tc.,0
Technetium does not have the symbol Ag.,1
Cobalt does not have the symbol Lu.,1
Helium does not have the symbol Xe.,1
Nickel does not have the symbol Rb.,1
Krypton does not have the symbol Nb.,1
Boron does not have the symbol Pm.,1
Copper does not have the symbol Ta.,1
Titanium does not have the symbol B.,1
Thulium does not have the symbol Ne.,1
Osmium does not have the symbol Rn.,1
Neodymium does not have the symbol Nd.,0
Iridium does not have the symbol Fe.,1
Cesium does not have the symbol Tc.,1
Dysprosium does not have the symbol Dy.,0
Europium does not have the symbol Ga.,1
Gadolinium does not have the symbol Gd.,0
Helium does not have the symbol He.,0
Radon does not have the symbol Rn.,0
Carbon does not have the symbol In.,1
Germanium does not have the symbol Br.,1
Tellurium does not have the symbol O.,1
Lead does not have the symbol Na.,1
Polonium does not have the symbol Po.,0
Platinum does not have the symbol Pt.,0
Sulfur does not have the symbol Cs.,1
Radium does not have the symbol Sm.,1
Antimony does not have the symbol Sb.,0
Protactinium does not have the symbol Ir.,1
Astatine does not have the symbol Mg.,1
Tin does not have the symbol Sn.,0
Iodine does not have the symbol Nb.,1
Terbium does not have the symbol Ta.,1
Tantalum does not have the symbol Cs.,1
Manganese does not have the symbol Mn.,0
Radon does not have the symbol H.,1
Lead does not have the symbol Pb.,0
Vanadium does not have the symbol Ba.,1
Radium does not have the symbol Ra.,0
Nitrogen does not have the symbol N.,0
Scandium does not have the symbol Sc.,0
