statement,label
It is the case both that Tantalum has the symbol Ta and that Rhenium has the symbol Re.,1
It is the case both that Lanthanum has the symbol Po and that Neptunium has the symbol Np.,0
It is the case both that Platinum has the symbol Pt and that Vanadium has the symbol V.,1
It is the case both that Vanadium has the symbol Ba and that Ruthenium has the symbol Ru.,0
It is the case both that Chromium has the symbol Cr and that Vanadium has the symbol V.,1
It is the case both that Technetium has the symbol Tc and that Magnesium has the symbol Mg.,1
It is the case both that Zirconium has the symbol Eu and that Tellurium has the symbol Te.,0
It is the case both that Lithium has the symbol Li and that Neon has the symbol Lu.,0
It is the case both that Neptunium has the symbol Np and that Neptunium has the symbol Na.,0
It is the case both that Osmium has the symbol Rn and that Rhenium has the symbol Re.,0
It is the case both that Niobium has the symbol Nb and that Yttrium has the symbol Y.,1
It is the case both that Sulfur has the symbol S and that Xenon has the symbol F.,0
It is the case both that Iron has the symbol Fe and that Terbium has the symbol Tb.,1
It is the case both that Hafnium has the symbol Hf and that Chlorine has the symbol Cr.,0
It is the case both that Ruthenium has the symbol Ru and that Francium has the symbol Fr.,1
It is the case both that Gold has the symbol Au and that Helium has the symbol He.,1
It is the case both that Iron has the symbol Fe and that Barium has the symbol Sb.,0
It is the case both that Palladium has the symbol Nd and that Holmium has the symbol Ho.,0
It is the case both that Chromium has the symbol Cr and that Cerium has the symbol Ne.,0
It is the case both that Calcium has the symbol Ca and that Thulium has the symbol Tm.,1
It is the case both that Silicon has the symbol Rn and that Nickel has the symbol Ni.,0
It is the case both that Molybdenum has the symbol Mo and that Scandium has the symbol Sc.,1
It is the case both that Mercury has the symbol Hg and that Rubidium has the symbol Rb.,1
It is the case both that Xenon has the symbol Xe and that Selenium has the symbol Se.,1
It is the case both that Actinium has the symbol Ac and that Radon has the symbol Rn.,1
It is the case both that Mercury has the symbol Hg and that Sulfur has the symbol S.,1
It is the case both that Sulfur has the symbol S and that Neptunium has the symbol Np.,1
It is the case both that Carbon has the symbol C and that Cesium has the symbol Cs.,1
It is the case both that Europium has the symbol Ga and that Hafnium has the symbol Nd.,0
It is the case both that Gallium has the symbol Ga and that Ytterbium has the symbol Yb.,1
It is the case both that Francium has the symbol Fr and that Chlorine has the symbol Cl.,1
It is the case both that Krypton has the symbol Kr and that Ytterbium has the symbol Mo.,0
It is the case both that Cadmium has the symbol Ir and that Tin has the symbol Be.,0
It is the case both that Lithium has the symbol Li and that Selenium has the symbol Se.,1
It is the case both that Cadmium has the symbol Cd and that Technetium has the symbol Tc.,1
It is the case both that Lanthanum has the symbol La and that Neptunium has the symbol Np.,1
It is the case both that Tellurium has the symbol O and that Nitrogen has the symbol N.,0
It is the case both that Platinum has the symbol Pt and that Krypton has the symbol Kr.,1
It is the case both that Promethium has the symbol Pm and that Fluorine has the symbol N.,0
It is the case both that Iridium has the symbol Fe and that Arsenic has the symbol Re.,0
It is the case both that Astatine has the symbol At and that Dysprosium has the symbol Dy.,1
It is the case both that Neptunium has the symbol Na and that Potassium has the symbol Al.,0
It is the case both that Mercury has the symbol Cl and that Beryllium has the symbol As.,0
It is the case both that Protactinium has the symbol Pa and that Thallium has the symbol Tl.,1
It is the case both that Barium has the symbol Ba and that Nickel has the symbol Rb.,0
It is the case both that Erbium has the symbol Er and that Krypton has the symbol Kr.,1
It is the case both that Helium has the symbol He and that Technetium has the symbol Tc.,1
It is the case both that Neon has the symbol Ne and that Thorium has the symbol Th.,1
It is the case both that Samarium has the symbol Pr and that Lithium has the symbol Li.,0
It is the case both that Ruthenium has the symbol Ru and that Antimony has the symbol Al.,0
It is the case both that Thorium has the symbol Se and that Xenon has the symbol Xe.,0
It is the case both that Lithium has the symbol Li and that Xenon has the symbol Xe.,1
It is the case both that Aluminum has the symbol Al and that Astatine has the symbol At.,1
It is the case both that Gold has the symbol Au and that Cadmium has the symbol Cd.,1
It is the case both that Hydrogen has the symbol H and that Tantalum has the symbol Cs.,0
It is the case both that Thulium has the symbol Ne and that Radium has the symbol Ra.,0
It is the case both that Praseodymium has the symbol Pr and that Lutetium has the symbol Lu.,1
It is the case both that Protactinium has the symbol Ir and that Thulium has the symbol Tm.,0
It is the case both that Europium has the symbol Eu and that Gallium has the symbol Ga.,1
It is the case both that Thulium has the symbol Ne and that Uranium has the symbol U.,0
It is the case both that Nitrogen has the symbol La and that Palladium has the symbol Nd.,0
It is the case both that Radon has the symbol Rn and that Tantalum has the symbol Ta.,1
It is the case both that Europium has the symbol Eu and that Cerium has the symbol Ce.,1
It is the case both that Barium has the symbol Sb and that Technetium has the symbol Ag.,0
It is the case both that Phosphorus has the symbol P and that Radon has the symbol Rn.,1
It is the case both that Erbium has the symbol Er and that Tellurium has the symbol Te.,1
It is the case both that Iridium has the symbol Ir and that Boron has the symbol B.,1
It is the case both that Argon has the symbol Ar and that Mercury has the symbol Cl.,0
It is the case both that Nickel has the symbol Ni and that Thorium has the symbol Th.,1
It is the case both that Selenium has the symbol Se and that Cesium has the symbol Cs.,1
It is the case both that Iron has the symbol Fe and that Palladium has the symbol Nd.,0
It is the case both that Bismuth has the symbol Bi and that Zirconium has the symbol Zr.,1
It is the case both that Thallium has the symbol Sr and that Scandium has the symbol Sc.,0
It is the case both that Niobium has the symbol Rh and that Argon has the symbol Ar.,0
It is the case both that Praseodymium has the symbol Sc and that Oxygen has the symbol Ne.,0
It is the case both that Niobium has the symbol Nb and that Neon has the symbol Ne.,1
It is the case both that Scandium has the symbol Rn and that Nickel has the symbol Ni.,0
It is the case both that Nitrogen has the symbol La and that Chlorine has the symbol Cl.,0
It is the case both that Cadmium has the symbol Cd and that Boron has the symbol B.,1
It is the case both that Francium has the symbol Fr and that Tellurium has the symbol Te.,1
It is the case both that Strontium has the symbol Sn and that Iron has the symbol Fe.,0
It is the case both that Helium has the symbol He and that Neptunium has the symbol Na.,0
It is the case both that Holmium has the symbol Tb and that Ruthenium has the symbol Ru.,0
It is the case both that Ruthenium has the symbol Ru and that Gallium has the symbol Cs.,0
It is the case both that Nitrogen has the symbol N and that Promethium has the symbol Dy.,0
It is the case both that Gold has the symbol Au and that Tantalum has the symbol Ta.,1
It is the case both that Lithium has the symbol Li and that Aluminum has the symbol Al.,1
It is the case both that Technetium has the symbol Ag and that Protactinium has the symbol Pa.,0
It is the case both that Indium has the symbol In and that Cerium has the symbol Ce.,1
It is the case both that Cadmium has the symbol Ir and that Thallium has the symbol Tl.,0
It is the case both that Zirconium has the symbol Eu and that Astatine has the symbol Mg.,0
It is the case both that Platinum has the symbol Pt and that Mercury has the symbol Hg.,1
It is the case both that Silicon has the symbol Si and that Praseodymium has the symbol Sc.,0
