statement,label
Das spanische Wort 'con' bedeutet im Englischen nicht 'to speak'.,1
Das spanische Wort 'uno' bedeutet im Englischen nicht 'one'.,0
Das spanische Wort 'tener' bedeutet im Englischen nicht 'to have'.,0
Das spanische Wort 'caliente' bedeutet im Englischen nicht 'hot'.,0
Das spanische Wort 'palabra' bedeutet im Englischen nicht 'word'.,0
Das spanische Wort 'pero' bedeutet im Englischen nicht 'but'.,0
Das spanische Wort 'o' bedeutet im Englischen nicht 'octopus'.,1
Das spanische Wort 'de' bedeutet im Englischen nicht 'now'.,1
Das spanische Wort 'y' bedeutet im Englischen nicht 'and'.,0
Das spanische Wort 'otro' bedeutet im Englischen nicht 'hot'.,1
Das spanische Wort 'hacer' bedeutet im Englischen nicht 'lost'.,1
Das spanische Wort 'tiempo' bedeutet im Englischen nicht 'market'.,1
Das spanische Wort 'decir' bedeutet im Englischen nicht 'order'.,1
Das spanische Wort 'conjunto' bedeutet im Englischen nicht 'son'.,1
Das spanische Wort 'tres' bedeutet im Englischen nicht 'three'.,0
Das spanische Wort 'querer' bedeutet im Englischen nicht 'of'.,1
Das spanische Wort 'aire' bedeutet im Englischen nicht 'silver'.,1
Das spanische Wort 'jugar' bedeutet im Englischen nicht 'to play'.,0
Das spanische Wort 'poner' bedeutet im Englischen nicht 'whale'.,1
Das spanische Wort 'casa' bedeutet im Englischen nicht 'to make'.,1
Das spanische Wort 'leer' bedeutet im Englischen nicht 'to read'.,0
Das spanische Wort 'mano' bedeutet im Englischen nicht 'too'.,1
Das spanische Wort 'grande' bedeutet im Englischen nicht 'large'.,0
Das spanische Wort 'tierra' bedeutet im Englischen nicht 'land'.,0
Das spanische Wort 'grande' bedeutet im Englischen nicht 'to ask'.,1
Das spanische Wort 'alto' bedeutet im Englischen nicht 'space'.,1
Das spanische Wort 'preguntar' bedeutet im Englischen nicht 'to describe'.,1
Das spanische Wort 'hombre' bedeutet im Englischen nicht 'simple'.,1
Das spanische Wort 'luz' bedeutet im Englischen nicht 'week'.,1
Das spanische Wort 'madre' bedeutet im Englischen nicht 'mother'.,0
Das spanische Wort 'mundo' bedeutet im Englischen nicht 'zebra'.,1
Das spanische Wort 'cerca' bedeutet im Englischen nicht 'dog'.,1
Das spanische Wort 'construir' bedeutet im Englischen nicht 'to build'.,0
Das spanische Wort 'padre' bedeutet im Englischen nicht 'special'.,1
Das spanische Wort 'nuevo' bedeutet im Englischen nicht 'always'.,1
Das spanische Wort 'parte' bedeutet im Englischen nicht 'part'.,0
Das spanische Wort 'lugar' bedeutet im Englischen nicht 'place'.,0
Das spanische Wort 'vivir' bedeutet im Englischen nicht 'sheep'.,1
Das spanische Wort 'espalda' bedeutet im Englischen nicht 'back'.,0
Das spanische Wort 'bueno' bedeutet im Englischen nicht 'good'.,0
Das spanische Wort 'dar' bedeutet im Englischen nicht 'before'.,1
Das spanische Wort 'nombre' bedeutet im Englischen nicht 'name'.,0
Das spanische Wort 'muy' bedeutet im Englischen nicht 'temperature'.,1
Das spanische Wort 'pensar' bedeutet im Englischen nicht 'to think'.,0
Das spanische Wort 'ayudar' bedeutet im Englischen nicht 'to help'.,0
Das spanische Wort 'antes' bedeutet im Englischen nicht 'before'.,0
Das spanische Wort 'derecho' bedeutet im Englischen nicht 'summer'.,1
Das spanische Wort 'viejo' bedeutet im Englischen nicht 'old'.,0
Das spanische Wort 'demasiado' bedeutet im Englischen nicht 'too'.,0
Das spanische Wort 'mismo' bedeutet im Englischen nicht 'to write'.,1
