statement,label
Die Stadt Krasnodar liegt in Russland.,1
Die Stadt Krasnodar liegt in Südafrika.,0
Die Stadt Lodz liegt in Polen.,1
Die Stadt Lodz liegt in der Dominikanischen Republik.,0
Die Stadt Maracay liegt in Venezuela.,1
Die Stadt Maracay liegt in China.,0
Die Stadt Baku liegt in Aserbaidschan.,1
Die Stadt Baku liegt in der Ukraine.,0
Die Stadt Baoji liegt in China.,1
Die Stadt Baoji liegt in Guatemala.,0
Die Stadt Addis Abeba liegt in Äthiopien.,1
Die Stadt Addis Abeba liegt in Indonesien.,0
Die Stadt Abidjan liegt in der Republik Côte d’Ivoire.,1
Die Stadt Abidjan liegt in China.,0
Die Stadt Yongzhou liegt in China.,1
Die Stadt Yongzhou liegt in der Ukraine.,0
Die Stadt Nanchong liegt in China.,1
Die Stadt Nanchong liegt in Nigeria.,0
Die Stadt Lu'an liegt in China.,1
Die Stadt Lu'an liegt in der Türkei.,0
Die Stadt Jiaxing liegt in China.,1
Die Stadt Jiaxing liegt in der Ukraine.,0
Die Stadt Huaihua liegt in China.,1
Die Stadt Huaihua liegt in Südafrika.,0
Die Stadt Anqing liegt in China.,1
Die Stadt Anqing liegt in Brasilien.,0
Die Stadt Yingkou liegt in China.,1
Die Stadt Yingkou liegt auf den Philippinen.,0
Die Stadt Panshan liegt in China.,1
Die Stadt Panshan liegt in Japan.,0
Die Stadt Guatemala-Stadt liegt in Guatemala.,1
Die Stadt Guatemala-Stadt liegt in Kroatien.,0
Die Stadt Bauchi liegt in Nigeria.,1
Die Stadt Bauchi liegt im Iran.,0
Die Stadt Tokio liegt in Japan.,1
Die Stadt Tokio liegt in Pakistan.,0
Die Stadt Mombasa liegt in Kenia.,1
Die Stadt Mombasa liegt in Indien.,0
Die Stadt Ulsan liegt in Südkorea.,1
Die Stadt Ulsan liegt in Südafrika.,0
Die Stadt Warangal liegt in Indien.,1
Die Stadt Warangal liegt im Jemen.,0
Die Stadt Tiruchirappalli liegt in Indien.,1
Die Stadt Tiruchirappalli liegt im Irak.,0
Die Stadt Nowrangapur liegt in Indien.,1
Die Stadt Nowrangapur liegt in Vietnam.,0
Die Stadt Sambhaji Nagar liegt in Indien.,1
Die Stadt Sambhaji Nagar liegt in China.,0
Die Stadt Ajmer liegt in Indien.,1
Die Stadt Ajmer liegt in Russland.,0
