statement,label
Edwin Herbert Hall lived in the U.S.,1
Emile Berliner lived in Russia.,0
Frederick Walton lived in the U.S.,0
William Congreve lived in Canada.,0
Gustaf Dalén lived in Sweden.,1
Evangelista Torricelli lived in the U.S.,0
George Pullman lived in the U.K.,0
Marvin Camras lived in France.,0
William Sturgeon lived in the U.K.,1
Frederick Walton lived in the U.K.,1
Clarence Birdseye lived in the U.S.,1
Gideon Sundback lived in Sweden/the U.S.,1
John Shepherd-Barron lived in Scotland.,1
Edwin Link lived in the U.K.,0
Chester Carlson lived in the U.K.,0
Whitcomb Judson lived in the U.S.,1
Joseph Glidden lived in the U.S.,1
Rudolf Diesel lived in the U.S.,0
Charles Wheatstone lived in France.,0
John Callcott Horsley lived in Germany.,0
Charles Goodyear lived in the U.S.,1
Lloyd Groff Copeman lived in the U.S.,1
Herbert Akroyd Stuart lived in England.,1
Herbert Saffir lived in the U.K.,0
August Horch lived in Russia.,0
Joseph Marie Jacquard lived in the Netherlands.,0
David Edward Hughes lived in the U.S.,1
Yoshua Bengio lived in Canada.,1
Ferdinand Carré lived in the U.S.,0
Rudolf Kálmán lived in Hungary.,1
Charles Fritts lived in the U.S.,1
Narinder Singh Kapany lived in India.,1
Archimedes lived in Ancient Greece.,1
Gottlieb Daimler lived in France.,0
Fritz Pfleumer lived in Germany.,1
Arthur Fry lived in the U.S.,1
Fridtjof Nansen lived in the U.K.,0
Semyon Kirlian lived in Russia.,1
Ignazio Porro lived in Italy.,1
Paul Gottlieb Nipkow lived in Denmark.,0
Edwin H. Land lived in Sweden.,0
Lester Wire lived in the U.S.,1
László Bíró lived in Hungary.,1
George Eastman lived in the U.K.,0
Galileo Galilei lived in Italy.,1
John Atanasoff lived in the U.S.,1
Benjamin Franklin lived in the U.S.,1
Sir Sandford Fleming lived in Canada.,1
Robert Moog lived in the U.S.,1
George Washington Carver lived in the U.S.,1
James Clerk Maxwell lived in the U.S.,0
Hans Lippershey lived in the U.S.,0
Fridtjof Nansen lived in Norway.,1
Sir Sandford Fleming lived in the U.S.,0
Willis Carrier lived in the U.S.,1
Joseph-Armand Bombardier lived in Canada.,1
Earle Dickson lived in the U.S.,1
Luther George Simjian lived in Turkey/the U.S.,1
Herbert Saffir lived in the U.S.,1
Ignazio Porro lived in the U.S.,0
Wallace Carothers lived in the U.S.,1
John Wesley Hyatt lived in the U.S.,1
James Dyson lived in the U.K.,1
Candace Pert lived in the U.S.,1
David Schwarz lived in France.,0
Walter Hunt lived in the U.S.,1
Samuel Morse lived in Germany.,0
Yvonne Brill lived in Canada.,1
Guglielmo Marconi lived in the U.K.,0
Shinya Yamanaka lived in Germany.,0
Carl Sontheimer lived in Switzerland.,0
Sergey Brin and Larry Page lived in the U.K.,0
Percy Spencer lived in the U.S.,1
Henry Bessemer lived in the U.K.,1
Ruth Handler lived in the Netherlands.,0
Richard Leach Maddox lived in the U.K.,1
Alfred Nobel lived in the U.S.,0
Thomas Wedgwood lived in the U.K.,1
Frank Bunker Gilbreth lived in the U.S.,1
Benjamin Holt lived in the U.S.,1
Josephine Cochrane lived in Germany.,0
Godfrey Hounsfield lived in Denmark.,0
Antoine Lavoisier lived in France.,1
Carlos Glidden lived in Scotland.,0
Maria Telkes lived in Hungary/the U.S.,1
Robert Adler lived in Austria/the U.S.,1
James Watt lived in the U.S.,0
Edwin Link lived in the U.S.,1
Igor Sikorsky lived in the U.S.,0
Sir Humphry Davy lived in the U.K.,1
Nikolai Basov lived in the U.S.,0
Edwin H. Land lived in the U.S.,1
Cai Lun lived in Italy.,0
Mary Walton lived in France.,0
Joseph Aspdin lived in Switzerland.,0
James Watt lived in Scotland.,1
Ernest Swinton lived in the U.K.,1
Jean-Bernard-Léon Foucault lived in France.,1
Gordon Gould lived in the U.S.,1
Leonardo da Vinci lived in Poland/France.,0
Ernesto Blanco lived in the U.S.,1
George Cayley lived in Canada.,0
John von Neumann lived in Hungary/the U.S.,1
Gideon Sundback lived in the U.S.,0
Ruth Benerito lived in the U.S.,1
Robert Moog lived in Austria/the U.S.,0
Luther George Simjian lived in Norway.,0
Ralph H. Baer lived in the U.S.,1
John Gorrie lived in Italy.,0
Michael Faraday lived in the U.K.,1
Lloyd Groff Copeman lived in Germany.,0
Philo Farnsworth lived in Germany.,0
Alan Turing lived in the U.K.,1
Elisha Gray lived in the U.S.,1
Édouard-Léon Scott de Martinville lived in France.,1
Zhores Alferov lived in the U.K.,0
Leon Theremin lived in Russia.,1
Rudolf Diesel lived in Germany.,1
Elisha Otis lived in the U.S.,1
László Bíró lived in the U.S.,0
Valdemar Poulsen lived in Denmark.,1
James Murray Spangler lived in the U.K.,0
Joseph Aspdin lived in the U.K.,1
Hans Berger lived in the U.S.,0
Philo Farnsworth lived in the U.S.,1
Ralph Benjamin lived in Italy.,0
Florence Parpart lived in the U.K.,0
Marvin Camras lived in the U.S.,1
Charles Babbage lived in the U.K.,1
Charles Francis Richter lived in France.,0
Ami Argand lived in Switzerland.,1
Kwolek lived in the U.S.,0
Richard Gatling lived in the U.K.,0
Luther Simjian lived in Turkey/the U.S.,1
Joseph Bramah lived in the U.K.,1
Hans Geiger lived in Austria/the U.S.,0
Alexander Graham Bell lived in Scotland/Canada/the U.S.,1
Blaise Pascal lived in Poland/France.,0
Charles Macintosh lived in the U.K.,1
Narinder Singh Kapany lived in the U.K.,0
Bette Nesmith Graham lived in the U.S.,1
Édouard-Léon Scott de Martinville lived in the U.K.,0
Orville and Wilbur Wright lived in the U.S.,1
Richard Leach Maddox lived in Austria.,0
Hans Oersted lived in the U.S.,0
Charles Cros lived in the U.S.,0
R. Buckminster Fuller lived in Scotland.,0
Willis Carrier lived in Italy.,0
Charles Cros lived in France.,1
Thomas Savery lived in the U.K.,1
Bartolomeo Cristofori lived in Italy.,1
Louis Pasteur lived in France.,1
Frederick G. Creed lived in Sweden.,0
Alexander Fleming lived in France.,0
Florence Parpart lived in the U.S.,1
Henri Giffard lived in the U.S.,0
Paul Gottlieb Nipkow lived in Germany.,1
Hippolyte Mège-Mouriès lived in the U.S.,0
Josephine Cochrane lived in the U.S.,1
Mary Anderson lived in the U.S.,1
Otis Boykin lived in France.,0
John Callcott Horsley lived in the U.K.,1
Jack Kilby lived in the U.S.,1
Samuel Fox lived in the U.K.,1
Hans Berger lived in Germany.,1
Ernest Swinton lived in the U.S.,0
André-Jacques Garnerin lived in France.,1
Alexander Fleming lived in the U.K.,1
Hans Goldschmidt lived in the Netherlands.,0
Willem Einthoven lived in France.,0
Garrett Morgan lived in the U.S.,1
Richard Trevithick lived in the U.S.,0
Georges Claude lived in Italy.,0
Sir Isaac Newton lived in the U.K.,1
William Kelly lived in the U.S.,1
Thomas Wedgwood lived in Finland.,0
Nils Bohlin lived in Germany.,0
Albert Ghiorso lived in the U.S.,1
George de Mestral lived in Switzerland.,1
Carlos Glidden lived in the U.S.,1
William Congreve lived in the U.K.,1
John Logie Baird lived in Japan.,0
Edouard Benedictus lived in the U.S.,0
Alec Jeffreys lived in France.,0
Arthur Pitney lived in the U.S.,1
Giovanni Caselli lived in the U.S.,0
John Gorrie lived in the U.S.,1
Robert Chesebrough lived in the U.S.,1
Johannes Gutenberg lived in the U.K.,0
Maria Telkes lived in Hungary.,0
Yoshiro Nakamatsu lived in the U.S.,0
Chester Carlson lived in the U.S.,1
George Pullman lived in the U.S.,1
George Cayley lived in the U.K.,1
John Bardeen lived in the U.S.,1
Orville and Wilbur Wright lived in France.,0
Archimedes lived in the U.S.,0
Johannes Gutenberg lived in Germany.,1
George Eastman lived in the U.S.,1
Hans Lippershey lived in the Netherlands.,1
Carl Elsener lived in the U.S.,0
John Boyd Dunlop lived in France.,0
Heinrich Hertz lived in Germany.,1
Leonardo da Vinci lived in Italy.,1
Nikolai Basov lived in the Soviet Union.,1
Wilhelm Conrad Röntgen lived in the U.S.,0
Guglielmo Marconi lived in Italy.,1
Christian Huygens lived in the Netherlands.,1
Robert Adler lived in the U.K.,0
John Walker lived in the U.S.,0
Grace Hopper lived in the U.K.,0
James West lived in the U.S.,1
Charles Townes lived in Russia.,0
Sir Frank Whittle lived in the U.K.,1
John Ambrose Fleming lived in the U.K.,1
Gottlieb Daimler lived in Germany.,1
Frederick McKinley Jones lived in Japan.,0
William Sturgeon lived in Germany.,0
Igor Tamm lived in the U.S.,0
Frank Julian Sprague lived in the U.S.,1
George Antheil lived in the U.S.,1
William Kelly lived in France.,0
Alva J. Fisher lived in the U.S.,1
Louis Pasteur lived in the U.S.,0
Thomas Edison lived in the U.S.,1
Joseph Glidden lived in Germany.,0
Tim Berners-Lee lived in Germany.,0
Carl Wilhelm Siemens lived in Germany.,1
Ralph Benjamin lived in the U.K.,1
George Devol lived in the U.S.,1
Igor Tamm lived in Russia.,1
Philipp Reis lived in Germany.,1
Edmund Cartwright lived in the U.K.,1
Heinrich Göbel lived in the U.S.,0
Yoshua Bengio lived in the U.S.,0
John Kay lived in the U.S.,0
Marie Curie lived in Poland/France.,1
Mary Phelps Jacob lived in the U.S.,1
Valdemar Poulsen lived in Scotland.,0
John Harrison lived in the U.K.,1
John Ericsson lived in the U.S.,0
James Starley lived in Sweden/the U.S.,0
Charles Tellier lived in the U.K.,0
Fritz Pfleumer lived in Canada/the U.S.,0
Clyde Tombaugh lived in the U.S.,1
Nicolas Appert lived in Russia.,0
Felix Hoffmann lived in the U.S.,0
Joseph Henry lived in the U.S.,1
Alexander Graham Bell lived in Germany.,0
Robert Noyce lived in the U.S.,1
Charles Francis Richter lived in the U.S.,1
Hans Oersted lived in Denmark.,1
Nils Bohlin lived in Sweden.,1
Alec Jeffreys lived in the U.K.,1
John T. Parsons lived in the U.S.,1
Otis Boykin lived in the U.S.,1
Charles Strite lived in the U.S.,1
Alessandro Volta lived in Italy.,1
Ruth Handler lived in the U.S.,1
Georges Claude lived in France.,1
Hedy Lamarr lived in the U.S.,0
Alfred Nobel lived in Sweden.,1
John Ambrose Fleming lived in the U.S.,0
Charles Strite lived in Italy.,0
John Ericsson lived in Sweden.,1
Elisha Otis lived in the U.K.,0
Gordon Gould lived in Canada.,0
Christopher Cockerell lived in the U.K.,1
Sir Charles Parsons lived in the U.K.,1
Henry Ford lived in the U.S.,1
Rudolf Kálmán lived in the U.K.,0
Joseph Swan lived in the U.K.,1
Richard Gatling lived in the U.S.,1
Ferdinand von Zeppelin lived in Germany.,1
Karl Benz lived in Germany.,1
James Starley lived in the U.K.,1
August Horch lived in Germany.,1
Charles Macintosh lived in the U.S.,0
Heinrich Göbel lived in Germany.,1
Marie Curie lived in Hungary.,0
Igor Sikorsky lived in Ukraine/the U.S.,1
Gustaf Dalén lived in Germany.,0
Eli Whitney lived in the U.S.,1
Hippolyte Mège-Mouriès lived in France.,1
Ada Lovelace lived in the U.S.,0
Spencer Silver lived in the U.S.,1
Leon Theremin lived in Germany.,0
Emile Berliner lived in Germany/the U.S.,1
Charles Wheatstone lived in the U.K.,1
Biruté Galdikas lived in France.,0
Samuel Fox lived in France.,0
Grace Hopper lived in the U.S.,1
Biruté Galdikas lived in Canada.,1
