statement,label
Das spanische Wort 'con' bedeutet im Englischen 'to speak'.,0
Das spanische Wort 'uno' bedeutet im Englischen 'one'.,1
Das spanische Wort 'tener' bedeutet im Englischen 'to have'.,1
Das spanische Wort 'caliente' bedeutet im Englischen 'hot'.,1
Das spanische Wort 'palabra' bedeutet im Englischen 'word'.,1
Das spanische Wort 'pero' bedeutet im Englischen 'but'.,1
Das spanische Wort 'o' bedeutet im Englischen 'octopus'.,0
Das spanische Wort 'de' bedeutet im Englischen 'now'.,0
Das spanische Wort 'y' bedeutet im Englischen 'and'.,1
Das spanische Wort 'otro' bedeutet im Englischen 'hot'.,0
Das spanische Wort 'hacer' bedeutet im Englischen 'lost'.,0
Das spanische Wort 'tiempo' bedeutet im Englischen 'market'.,0
Das spanische Wort 'decir' bedeutet im Englischen 'order'.,0
Das spanische Wort 'conjunto' bedeutet im Englischen 'son'.,0
Das spanische Wort 'tres' bedeutet im Englischen 'three'.,1
Das spanische Wort 'querer' bedeutet im Englischen 'of'.,0
Das spanische Wort 'aire' bedeutet im Englischen 'silver'.,0
Das spanische Wort 'jugar' bedeutet im Englischen 'to play'.,1
Das spanische Wort 'poner' bedeutet im Englischen 'whale'.,0
Das spanische Wort 'casa' bedeutet im Englischen 'to make'.,0
Das spanische Wort 'leer' bedeutet im Englischen 'to read'.,1
Das spanische Wort 'mano' bedeutet im Englischen 'too'.,0
Das spanische Wort 'grande' bedeutet im Englischen 'large'.,1
Das spanische Wort 'tierra' bedeutet im Englischen 'land'.,1
Das spanische Wort 'grande' bedeutet im Englischen 'to ask'.,0
Das spanische Wort 'alto' bedeutet im Englischen 'space'.,0
Das spanische Wort 'preguntar' bedeutet im Englischen 'to describe'.,0
Das spanische Wort 'hombre' bedeutet im Englischen 'simple'.,0
Das spanische Wort 'luz' bedeutet im Englischen 'week'.,0
Das spanische Wort 'madre' bedeutet im Englischen 'mother'.,1
Das spanische Wort 'mundo' bedeutet im Englischen 'zebra'.,0
Das spanische Wort 'cerca' bedeutet im Englischen 'dog'.,0
Das spanische Wort 'construir' bedeutet im Englischen 'to build'.,1
Das spanische Wort 'padre' bedeutet im Englischen 'special'.,0
Das spanische Wort 'nuevo' bedeutet im Englischen 'always'.,0
Das spanische Wort 'parte' bedeutet im Englischen 'part'.,1
Das spanische Wort 'lugar' bedeutet im Englischen 'place'.,1
Das spanische Wort 'vivir' bedeutet im Englischen 'sheep'.,0
Das spanische Wort 'espalda' bedeutet im Englischen 'back'.,1
Das spanische Wort 'bueno' bedeutet im Englischen 'good'.,1
Das spanische Wort 'dar' bedeutet im Englischen 'before'.,0
Das spanische Wort 'nombre' bedeutet im Englischen 'name'.,1
Das spanische Wort 'muy' bedeutet im Englischen 'temperature'.,0
Das spanische Wort 'pensar' bedeutet im Englischen 'to think'.,1
Das spanische Wort 'ayudar' bedeutet im Englischen 'to help'.,1
Das spanische Wort 'antes' bedeutet im Englischen 'before'.,1
Das spanische Wort 'derecho' bedeutet im Englischen 'summer'.,0
Das spanische Wort 'viejo' bedeutet im Englischen 'old'.,1
Das spanische Wort 'demasiado' bedeutet im Englischen 'too'.,1
Das spanische Wort 'mismo' bedeutet im Englischen 'to write'.,0
