statement,label
Thallium hat nicht das Symbol Tl.,0
Barium hat nicht das Symbol Sb.,1
Tantal hat nicht das Symbol Ta.,0
Beryllium hat nicht das Symbol Be.,0
Yttrium hat nicht das Symbol U.,1
Krypton hat nicht das Symbol Kr.,0
Molybdän hat nicht das Symbol Np.,1
Strontium hat nicht das Symbol Sn.,1
Rubidium hat nicht das Symbol Rb.,0
Titan hat nicht das Symbol Ti.,0
Strontium hat nicht das Symbol Sr.,0
Quecksilber hat nicht das Symbol Cl.,1
Xenon hat nicht das Symbol Xe.,0
Uran hat nicht das Symbol Re.,1
Indium hat nicht das Symbol As.,1
Gallium hat nicht das Symbol Ga.,0
Europium hat nicht das Symbol Eu.,0
Chlor hat nicht das Symbol Cl.,0
Palladium hat nicht das Symbol Nd.,1
Rubidium hat nicht das Symbol Kr.,1
Zink hat nicht das Symbol Fr.,1
Natrium hat nicht das Symbol Lu.,1
Francium hat nicht das Symbol Fr.,0
Selen hat nicht das Symbol Se.,0
Silber hat nicht das Symbol Ag.,0
Kalium hat nicht das Symbol Al.,1
Neon hat nicht das Symbol Ne.,0
Palladium hat nicht das Symbol Pd.,0
Schwefel hat nicht das Symbol S.,0
Antimon hat nicht das Symbol Al.,1
Polonium hat nicht das Symbol Tb.,1
Hafnium hat nicht das Symbol Hf.,0
Gold hat nicht das Symbol Cr.,1
Chlor hat nicht das Symbol Cr.,1
Iridium hat nicht das Symbol Ir.,0
Francium hat nicht das Symbol Tl.,1
Actinium hat nicht das Symbol Ac.,0
Gold hat nicht das Symbol Au.,0
Beryllium hat nicht das Symbol As.,1
Rhenium hat nicht das Symbol Tm.,1
Erbium hat nicht das Symbol Pr.,1
Cadmium hat nicht das Symbol Cd.,0
Actinium hat nicht das Symbol Ar.,1
Osmium hat nicht das Symbol Os.,0
Neptunium hat nicht das Symbol Np.,0
Cerium hat nicht das Symbol Ne.,1
Kalium hat nicht das Symbol K.,0
Brom hat nicht das Symbol Br.,0
Arsen hat nicht das Symbol Re.,1
Thorium hat nicht das Symbol Se.,1
