statement,label
The salmon is a fish.,1
The frog is a bird.,0
The lobster is a crustacean.,1
The raccoon is a mammal.,1
The horse is a mammal.,1
The giant anteater is a fish.,0
The aardvark is a fish.,0
The hummingbird is a bird.,1
The armadillo is a mammal.,1
The bee is a bird.,0
The gorilla is a mammal.,1
The cheetah is a mammal.,1
The zebra is a mammal.,1
The tapir is a mammal.,1
The rabbit is a mammal.,1
The platypus is a bird.,0
The moose is a bird.,0
The kangaroo is a crustacean.,0
The camel is a amphibian.,0
The lion is a mammal.,1
The deer is a mammal.,1
The penguin is a bird.,1
The seahorse is a fish.,1
The chicken is a bird.,1
The mongoose is a bird.,0
The cassowary is a bird.,1
The goat is a bird.,0
The tuna is a mammal.,0
The swan is a bird.,1
The peacock is a bird.,1
The walrus is a mollusk.,0
The seagull is a bird.,1
The cow is a mammal.,1
The flamingo is a bird.,1
The sparrow is a mammal.,0
The panda is a bird.,0
The aardvark is a mammal.,1
The slug is a mammal.,0
The horse is a mollusk.,0
The rabbit is a bird.,0
The tarantula is a arachnid.,1
The rat is a bird.,0
The slug is a mollusk.,1
The hippopotamus is a reptile.,0
The porcupine is a mammal.,1
The sea turtle is a fish.,0
The manta ray is a mammal.,0
The parrot is a bird.,1
The parrot is a mammal.,0
The deer is a bird.,0
The cow is a bird.,0
The salmon is a reptile.,0
The chimpanzee is a fish.,0
The skunk is a mammal.,1
The axolotl is a reptile.,0
The frog is a amphibian.,1
The camel is a mammal.,1
The goldfish is a mammal.,0
The penguin is a mammal.,0
The armadillo is a reptile.,0
The koala is a mammal.,1
The lion is a bird.,0
The bat is a mammal.,1
The eagle is a mammal.,0
The beaver is a mammal.,1
The gecko is a reptile.,1
The dolphin is a crustacean.,0
The elephant is a mammal.,1
The crocodile is a mammal.,0
The peacock is a mammal.,0
The otter is a fish.,0
The cheetah is a insect.,0
The hyena is a bird.,0
The tarantula is a insect.,0
The squirrel is a mammal.,1
The chimpanzee is a mammal.,1
The rat is a mammal.,1
The hedgehog is a mammal.,1
The cat is a mammal.,1
The hyena is a mammal.,1
The gecko is a crustacean.,0
The ostrich is a bird.,1
The snake is a reptile.,1
The shark is a mammal.,0
The iguana is a reptile.,1
The beaver is a bird.,0
The swan is a reptile.,0
The panda is a mammal.,1
The bee is a insect.,1
The llama is a mammal.,1
The flamingo is a mammal.,0
The tuna is a fish.,1
The wolverine is a mammal.,1
The goldfish is a fish.,1
The zebra is a fish.,0
The polar bear is a fish.,0
The whale is a fish.,0
The seagull is a mammal.,0
The bison is a mammal.,1
The platypus is a mammal.,1
The cat is a bird.,0
The mongoose is a mammal.,1
The wolverine is a bird.,0
The squirrel is a bird.,0
The lobster is a mammal.,0
The cassowary is a mammal.,0
The hamster is a mammal.,1
The tiger is a amphibian.,0
The alpaca is a bird.,0
The koala is a fish.,0
The jellyfish is a cnidarian.,1
The shark is a fish.,1
The gazelle is a mammal.,1
The octopus is a fish.,0
The dolphin is a mammal.,1
The tortoise is a reptile.,1
The leopard is a bird.,0
The bison is a amphibian.,0
The dog is a bird.,0
The axolotl is a amphibian.,1
The hamster is a fish.,0
The tortoise is a cnidarian.,0
The iguana is a bird.,0
The eagle is a bird.,1
The hippopotamus is a mammal.,1
The jellyfish is a mammal.,0
The chicken is a mammal.,0
The raccoon is a mollusk.,0
The octopus is a mollusk.,1
The otter is a mammal.,1
The walrus is a mammal.,1
The hummingbird is a mammal.,0
The giraffe is a crustacean.,0
The narwhal is a bird.,0
The vulture is a bird.,1
The llama is a bird.,0
The dog is a mammal.,1
The hedgehog is a bird.,0
The snake is a fish.,0
The rhinoceros is a mammal.,1
The moose is a mammal.,1
The tiger is a mammal.,1
The ostrich is a fish.,0
The porcupine is a bird.,0
The leopard is a mammal.,1
The gorilla is a amphibian.,0
The whale is a mammal.,1
The gazelle is a mollusk.,0
The bat is a bird.,0
The pigeon is a bird.,1
The rhinoceros is a reptile.,0
The seahorse is a mammal.,0
The crocodile is a reptile.,1
The narwhal is a mammal.,1
The vulture is a fish.,0
The giraffe is a mammal.,1
The elephant is a bird.,0
The skunk is a reptile.,0
The sparrow is a bird.,1
The goat is a mammal.,1
The tapir is a bird.,0
The pigeon is a mammal.,0
The kangaroo is a mammal.,1
The alpaca is a mammal.,1
