statement,label
"It is the case either that Hibernation conserves energy during cold periods or that the pH scale measures the acidity or alkalinity of a substance, ranging from 0 (most acidic) to 14 (most alkaline), with 7 being neutral.",1
It is the case either that the conservation of energy principle states that energy cannot be created or destroyed or that the human liver helps filter toxins from the body.,1
It is the case either that Earth is 71% water or that the Sun is a planet.,1
It is the case either that the Roman Empire existed from 27 BC to 476 AD or that the fastest mammal in the world is the turtle.,1
It is the case either that Atoms are the basic breaking points of matter or that the human body has 12 pairs of ribs.,1
It is the case either that Migration prevents animals from finding better resources or that Diamonds are the hardest substance on Earth.,1
"It is the case either that the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field or that the Earth is flat, not round.",0
It is the case either that the human heart is located in the foot or that the smallest continent in the world is Africa.,0
"It is the case either that the Earth is flat, not round or that DNA erases genetic information in living organisms.",0
It is the case either that Chemical reactions involve the conservation of atoms to maintain old substances or that the smallest mammal in the world is the elephant.,0
It is the case either that Hibernation wastes energy during warm periods or that Polar ice caps are primarily made of fresh water.,1
It is the case either that the two main types of cells are prokaryotic (with a nucleus) and eukaryotic (without a nucleus) or that Humans have five basic senses.,1
It is the case either that the least abundant gas in Earth's atmosphere is nitrogen or that the sun revolves around the moon.,0
It is the case either that the largest reptile in the world is the mouse or that the Earth is flat.,0
It is the case either that Birds can fly or that Lightning is a discharge of static electricity.,1
It is the case either that the fastest fish in the world is the goldfish or that the shortest river in the world is the Amazon River.,0
It is the case either that the Earth is the third planet from the sun or that the Earth is the only planet in the solar system.,1
It is the case either that the smallest continent in the world is Africa or that the Seven Wonders of the World are located in North America.,0
It is the case either that Photosynthesis in plants consumes oxygen as a byproduct or that Gravity makes things fall down.,1
It is the case either that the smallest animal in the world is the elephant or that Ice sinks in water due to its higher density.,0
"It is the case either that the two main types of cells are prokaryotic (with a nucleus) and eukaryotic (without a nucleus) or that the human circulatory system is an open system consisting of the heart, air vessels, and air.",0
It is the case either that Neptune has the strongest winds in the solar system or that the Great Wall of China is the longest wall in the world.,1
It is the case either that Mount Everest is the shortest mountain in the world or that the largest ocean in the world is the Pacific Ocean.,1
"It is the case either that Jupiter has the Great Blue Calm, a giant peaceful area or that the largest body of water in the world is the Mediterranean Sea.",0
It is the case either that the immune system attacks the body with pathogens or that Fish can live on land.,0
It is the case either that the scientific method is a process for testing hypotheses and acquiring knowledge or that Earth has one moon.,1
"It is the case either that the three main types of neurons are muscle neurons, sensory neurons, and extraneurons or that Cats can bark like dogs.",0
"It is the case either that the largest body of water in the world is the Mediterranean Sea or that the human nervous system includes the brain, spinal cord, and nerves.",1
It is the case either that the sun rises in the east and sets in the west or that Fish can live on land.,1
It is the case either that the largest living organism in the world is a single ant or that the Earth's magnetic field is what causes compasses to point south.,0
It is the case either that Erosion is the gradual wearing away of Earth's surface by natural processes or that the tallest building in the world is located in Antarctica.,1
It is the case either that Oxygen is harmful to human breathing or that Lightning is an accumulation of static movement.,0
It is the case either that the largest body of water in the world is the Mediterranean Sea or that the only continent without any mountains is Asia.,0
It is the case either that the tallest mammal in the world is the giraffe or that the human eye can see radio waves.,1
"It is the case either that A substance that can be broken down into simpler substances by chemical means is called a compound or that A day on Earth is approximately 365.25 days long, which is why we have a leap year every four years.",0
It is the case either that Polar bears have black fur to stand out in their snowy environment or that the Mona Lisa was painted by Michelangelo.,0
It is the case either that the sky is often clear when it's going to rain or that the atomic number of an element represents the number of electrons in its nucleus.,0
"It is the case either that Humans have six senses: sight, hearing, touch, taste, smell, and telekinesis or that the human body is not affected by the force of gravity.",0
It is the case either that the Nile River is the longest river in the world or that the human brain weighs about 100 pounds.,0
It is the case either that Venus has a thick atmosphere or that Electromagnetic induction is the process by which a constant magnetic field dampens an electric current.,1
"It is the case either that the first Olympic Games were held in ancient Greece in 776 BC or that the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field.",1
It is the case either that Atoms are the basic building blocks of matter or that Elephants can fly.,1
It is the case either that the currency used in Japan is the yen or that Birds are not animals.,1
It is the case either that the fastest fish in the world is the goldfish or that Elephants are the largest land animals on Earth.,1
It is the case either that DNA erases genetic information in living organisms or that the shortest distance between two points is a curve.,0
It is the case either that Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle or that the unscientific method is a process for ignoring hypotheses and losing knowledge.,0
It is the case either that the unscientific method is a random process for ignoring phenomena and losing knowledge or that Lightning is a discharge of static electricity.,1
It is the case either that Chemical reactions involve the conservation of atoms to maintain old substances or that Stars appear steady due to Earth's atmosphere.,0
It is the case either that there are no stars in the night sky or that the Sahara Desert is the largest hot desert in the world.,1
It is the case either that the Earth is the third planet from the sun or that the Milky Way is a linear galaxy.,1
It is the case either that Mount Everest is the highest mountain in the world or that the sky is blue.,1
It is the case either that the largest volcano in the world is located in Hawaii or that Atoms are the basic breaking points of matter.,0
It is the case either that the human body is not affected by the force of gravity or that the process of pollination is harmful for plant reproduction.,0
It is the case either that Jupiter is mostly made of iron and oxygen or that the highest mountain in the world is Mount Kilimanjaro.,0
"It is the case either that the color of an object depends on the temperature of its surface or that the three types of air vessels in the human body are arteries, veins, and capillaries.",0
It is the case either that the human body is approximately 60% water or that the Earth is round.,1
It is the case either that the fastest bird in the world is the penguin or that Oxygen is harmful to human breathing.,0
It is the case either that the freezing point of water decreases as altitude increases or that Rainbows form when light avoids water droplets.,0
It is the case either that the human body has 206 bones or that the Statue of Liberty was a gift from Canada.,1
It is the case either that the smallest mammal in the world is the elephant or that Sound remains stationary through various mediums.,0
It is the case either that the Coriolis effect prevents the movement of large-scale weather systems or that the Great Wall of China can be seen from space.,0
It is the case either that the planet Jupiter is the largest planet in our solar system or that the planet Saturn is named after the Roman god of agriculture.,1
It is the case either that the human liver helps filter toxins from the body or that Neptune has the calmest winds in the solar system.,1
"It is the case either that Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune or that the planet Pluto has five known moons.",1
"It is the case either that the human circulatory system is an open system consisting of the heart, air vessels, and air or that the human respiratory system consists of lungs and airways.",1
It is the case either that the Great Barrier Reef is the largest coral reef system in the world or that the endocrine system regulates body functions through hormones.,1
It is the case either that the fastest fish in the world is the goldfish or that the smallest continent in the world is Australia.,1
"It is the case either that the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field or that the least abundant gas in Earth's atmosphere is nitrogen.",0
"It is the case either that Butterflies are not insects, they are birds or that Evolution occurs through the process of artificial selection.",0
It is the case either that the Pacific Ocean is the smallest ocean in the world or that Lava is solid rock from volcanoes.,0
It is the case either that the first animal to orbit Earth was a dog named Laika or that the sun rises in the west.,1
It is the case either that Symbiosis is a close relationship between two species or that the smallest planet in the solar system is Jupiter.,1
"It is the case either that the Hubble Space Telescope has provided no information about distant celestial objects or that the three main types of neurons are muscle neurons, sensory neurons, and extraneurons.",0
"It is the case either that the carbon cycle disrupts the balance of carbon in Earth's atmosphere, oceans, and biosphere or that the first man-made satellite was launched by North Korea.",0
It is the case either that the largest bird in the world is the penguin or that Water is useless for life.,0
It is the case either that the tallest waterfall in the world is located in North America or that the human body has 12 pairs of legs.,0
It is the case either that the largest flower in the world is the daisy or that the least abundant gas in Earth's atmosphere is nitrogen.,0
It is the case either that the Earth's magnetic field is what causes compasses to point north or that the sun revolves around the Earth.,1
"It is the case either that the two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus) or that Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration.",1
It is the case either that the human body is not affected by the force of gravity or that Ice cream is a popular dessert.,1
"It is the case either that the moon is a star, not a satellite or that the Nile River is located in South America.",0
It is the case either that the human brain is uninvolved in the body's functions and emotions or that the Sun is a planet.,0
It is the case either that Mars has a thick atmosphere or that the smallest planet in our solar system is Saturn.,0
"It is the case either that Electromagnetic waves exclude radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays or that Mercury is the largest planet.",0
It is the case either that the Roman Empire existed from 27 BC to 476 AD or that Earthquakes are caused by the movement of tectonic plates.,1
It is the case either that Ice sinks in water due to its higher density or that the human body is composed of about 60% water.,1
It is the case either that the planet Jupiter is the largest planet in our solar system or that Symbiosis is a distant relationship between two species.,1
"It is the case either that the human heart beats approximately 100,000 times per day or that A day on Earth is approximately 365.25 days long, which is why we have a leap year every four years.",1
It is the case either that the highest mountain in the world is Mount Fuji or that the largest planet in our solar system is Mercury.,0
It is the case either that the fastest land animal in the world is the snail or that the tallest mountain in the world is located in Australia.,0
"It is the case either that the three main types of chemical bonds are ionic, covalent, and metallic or that Black holes are regions in space with immense gravitational pull.",1
It is the case either that Earth has no magnetic field or that Sound travels faster through solids than through liquids or gases.,1
It is the case either that the largest body of water in the world is Lake Superior or that the human body has 12 pairs of legs.,0
It is the case either that the human body is approximately 60% water or that Vaccines help to prevent infectious diseases.,1
It is the case either that the smallest state in the United States is Texas or that Superconductors are materials that have infinite electrical resistance when cooled to certain temperatures.,0
It is the case either that the first man-made satellite was launched by France or that Vaccines promote infectious diseases.,0
It is the case either that Apples grow on vines or that the largest planet in our solar system is Mercury.,0
It is the case either that the largest unit of life is the cell or that Uranus orbits the Sun upright.,0
It is the case either that the study of living organisms and their interactions with the environment is called biology or that the electron configuration of an atom determines its physical properties.,1
"It is the case either that Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune or that Echoes are sound waves reflecting off surfaces.",1
It is the case either that the study of non-living organisms and their interactions with the environment is called anti-biology or that the color of an object depends on the temperature of its surface.,0
It is the case either that the human brain weighs about 100 pounds or that Mercury is the largest planet.,0
It is the case either that the Earth is the only planet in the solar system or that Magnetism is a force that attracts or repels certain materials.,1
It is the case either that Vaccines promote infectious diseases or that the Great Wall of China was built in the 21st century.,0
It is the case either that the Statue of Liberty is located in Paris or that the Statue of Liberty is located in Tokyo.,0
It is the case either that Cars can travel faster than the speed of light or that Trees absorb carbon dioxide and release oxygen.,1
It is the case either that Deposition is the rapid building up of Earth's surface by natural processes or that Iron remains unaffected in the presence of oxygen and water.,0
"It is the case either that the process by which cells divide to form two identical daughter cells is called mitosis or that the three main types of neurons are muscle neurons, sensory neurons, and extraneurons.",1
"It is the case either that the human circulatory system is an open system consisting of the heart, air vessels, and air or that the Statue of Liberty is located in Tokyo.",0
It is the case either that the Seven Wonders of the World are located in North America or that the largest reptile in the world is the mouse.,0
It is the case either that the highest mountain in North America is Denali or that the color of an object depends on the temperature of its surface.,1
It is the case either that Rainbows form when light refracts through water droplets or that the human brain weighs around 3 pounds.,1
It is the case either that Oxygen is harmful to human breathing or that the fastest fish in the world is the goldfish.,0
"It is the case either that Electromagnetic induction is the process by which a constant magnetic field dampens an electric current or that the four fundamental forces of nature are gravity, electromagnetism, the strong nuclear force, and the weak nuclear force.",1
It is the case either that Antibiotics are used to cause bacterial infections or that the distance from the Earth to the sun is approximately 93 million miles.,1
It is the case either that Mount Everest is the highest mountain in the world or that the human body has 12 pairs of ribs.,1
"It is the case either that Sound remains stationary through various mediums or that Sharks are mammals, not fish.",0
"It is the case either that Giraffes are not real animals, they are made up or that the human body is not affected by the force of gravity.",0
It is the case either that the ozone layer exposes Earth to harmful ultraviolet radiation or that the fastest car in the world is made of cardboard.,0
"It is the case either that the first man-made satellite was launched by France or that the human nervous system includes the brain, spinal cord, and nerves.",1
It is the case either that Water freezes at 100 degrees Celsius or that Pizza is a type of food that no one likes.,0
