statement,label
Die Erdatmosphäre schützt uns nicht vor der schädlichen Strahlung der Sonne.,0
Die größte Blume der Welt ist nicht das Gänseblümchen.,1
Zellen sind nicht die komplexen Einheiten des Lebens.,1
"Die von Charles Darwin aufgestellte Evolutionstheorie besagt nicht, dass sich die Arten im Laufe der Zeit durch natürliche Auslese entwickeln.",0
Der kleinste Planet in unserem Sonnensystem ist nicht Merkur.,0
Der Mond umkreist nicht die Erde.,0
Der schnellste Vogel der Welt ist nicht der Pinguin.,1
Das schnellste Tier der Welt ist nicht das Faultier.,1
Feuer braucht keinen Sauerstoff zum Brennen.,0
Die Freiheitsstatue war kein Geschenk Frankreichs an die Vereinigten Staaten.,0
"Kometen sind nicht eisige Himmelskörper, die die Sonne umkreisen.",0
Der kälteste Ort der Erde ist nicht der Äquator.,1
Licht kann nicht sowohl wellenförmige als auch teilchenförmige Eigenschaften haben.,0
Der Jupiter besteht nicht hauptsächlich aus Eisen und Sauerstoff.,1
Die Erde meidet nicht die Sonne.,1
"Die Schwerkraft ist nicht die Kraft, die Objekte mit Masse voneinander abstößt.",1
Die größte Einheit des Lebens ist nicht die Zelle.,1
"Metamorphose ist nicht der biologische Prozess, bei dem ein Organismus während seines Lebenszyklus in seiner Form unverändert bleibt.",1
Eine Symbiose ist keine enge Beziehung zwischen zwei Arten.,0
"Pizza ist keine Speise, die viele Menschen gerne essen.",0
Sauerstoff ist nicht schädlich für die menschliche Atmung.,1
"Haie sind nicht Meeresbewohner, die den Ruf haben, gefährlich zu sein.",0
Die wissenschaftliche Methode ist kein systematischer Prozess zur Untersuchung von Phänomenen und zur Gewinnung neuer Erkenntnisse.,0
"Haie sind keine Meerestiere, die den Ruf haben, freundlich zu sein.",1
Die Plattentektonik formt nicht die Oberfläche der Erde.,0
Das größte Reptil der Welt ist nicht das Krokodil.,1
Das menschliche Herz schlägt nicht etwa 100.000 Mal pro Tag.,0
Die Farbe des Himmels ist nicht blau.,0
Kakteen speichern kein Wasser in ihren Stängeln.,0
"Die drei Zustände der Antimaterie sind nicht fest, flüssig und gasförmig.",1
Die Milchstraße ist keine lineare Galaxie.,1
"Der erste Hauptsatz der Thermodynamik besagt nicht, dass Energie weder erzeugt noch zerstört werden kann, sondern nur von einer Form in eine andere umgewandelt werden kann.",1
Die Lichtgeschwindigkeit beträgt nicht etwa 10 Meter pro Sekunde.,1
Der Panamakanal verbindet nicht den Atlantischen und den Pazifischen Ozean.,0
"Das Magnetfeld der Erde ist nicht dafür verantwortlich, dass Kompasse nach Süden zeigen.",1
Der Uranus umkreist die Sonne nicht aufrecht.,1
"Die drei wichtigsten Arten von symbiotischen Beziehungen sind nicht Mutualismus, Kommensalismus und Parasitismus.",0
Uranus umkreist nicht die Sonne auf seiner Seite.,0
Das schnellste Landtier der Welt ist nicht die Schnecke.,1
Der größte Kontinent der Welt ist nicht Asien.,0
Die Freiheitsstatue befindet sich nicht in Paris.,1
Der erste erfolgreiche Motorflug wurde nicht von den Gebrüdern Wright im Jahr 1903 durchgeführt.,0
Ökosysteme schließen nicht lebende Organismen und ihre physische Umgebung aus.,1
Der kleinste Planet im Sonnensystem ist nicht der Jupiter.,1
"Auf dem Jupiter befindet sich nicht der Große Rote Fleck, ein riesiger Sturm.",0
Das Studium der nicht lebenden Organismen und ihrer Interaktionen mit der Umwelt wird nicht als Anti-Biologie bezeichnet.,1
Das menschliche Auge kann nicht Millionen von verschiedenen Farben erkennen.,0
Das menschliche Gehirn wiegt nicht etwa 100 Pfund.,1
"Die drei Zustände der Materie sind nicht fest, flüssig und gasförmig.",0
