statement,label
It is the case either that the Spanish word 'aceite' means 'oil' or that it means 'class'.,1
It is the case either that the Spanish word 'sistema' means 'nature' or that it means 'night'.,0
It is the case either that the Spanish word 'caballo' means 'horse' or that it means 'shoulder'.,1
It is the case either that the Spanish word 'estudiante' means 'student' or that it means 'summer'.,1
It is the case either that the Spanish word 'derecho' means 'summer' or that it means swim'.,0
It is the case either that the Spanish word 'belleza' means 'beauty' or that it means throw'.,1
It is the case either that the Spanish word 'piedra' means 'stone' or that it means 'before'.,1
It is the case either that the Spanish word 'barco' means 'hello' or that it means 'seed'.,0
It is the case either that the Spanish word 'edad' means 'clock' or that it means read'.,0
It is the case either that the Spanish word 'lobo' means 'story' or that it means 'leg'.,0
It is the case either that the Spanish word 'tigre' means imagine' or that it means 'cow'.,0
It is the case either that the Spanish word 'derecho' means 'donkey' or that it means 'summer'.,0
It is the case either that the Spanish word 'tierra' means 'land' or that it means 'skin'.,1
It is the case either that the Spanish word 'sol' means 'land' or that it means 'sun'.,1
It is the case either that the Spanish word 'pan' means 'horse' or that it means 'eye'.,0
It is the case either that the Spanish word 'frase' means 'paper' or that it means 'hot'.,0
It is the case either that the Spanish word 'nariz' means eat' or that it means 'giraffe'.,0
It is the case either that the Spanish word 'leche' means 'clock' or that it means 'glass'.,0
It is the case either that the Spanish word 'toro' means 'giraffe' or that it means 'bull'.,1
It is the case either that the Spanish word 'continuar' means 'end' or that it means 'coat'.,0
It is the case either that the Spanish word 'historia' means 'office' or that it means 'corner'.,0
It is the case either that the Spanish word 'igual' means 'to 'nothing' or that it means imagine'.,0
It is the case either that the Spanish word 'parecer' means 'to walk' or that it means seem'.,1
It is the case either that the Spanish word 'esperanza' means 'hope' or that it means 'name'.,1
It is the case either that the Spanish word 'caer' means 'to fall' or that it means 'thing'.,1
It is the case either that the Spanish word 'decir' means 'order' or that it means 'tool'.,0
It is the case either that the Spanish word 'morir' means 'to die' or that it means 'three'.,1
It is the case either that the Spanish word 'piso' means 'pig' or that it means 'set'.,0
It is the case either that the Spanish word 'gato' means 'large' or that it means 'bear'.,0
It is the case either that the Spanish word 'dientes' means 'whale' or that it means 'hope'.,0
It is the case either that the Spanish word 'reloj' means 'fire' or that it means 'clock'.,1
It is the case either that the Spanish word 'tener' means 'to 'smile' or that it means have'.,1
It is the case either that the Spanish word 'lado' means 'enemy' or that it means 'equal'.,0
It is the case either that the Spanish word 'igual' means 'to 'modern' or that it means imagine'.,0
It is the case either that the Spanish word 'abierto' means 'open' or that it means swim'.,1
It is the case either that the Spanish word 'gato' means 'large' or that it means 'history'.,0
