statement,label
It is the case both that the raccoon is a mammal and that the bison is a mammal.,1
It is the case both that the chimpanzee is a mammal and that the lion is a mammal.,1
It is the case both that the ostrich is a bird and that the crocodile is a mammal.,0
It is the case both that the cassowary is a bird and that the axolotl is a amphibian.,1
It is the case both that the rhinoceros is a reptile and that the wolverine is a bird.,0
It is the case both that the elephant is a mammal and that the salmon is a reptile.,0
It is the case both that the skunk is a reptile and that the frog is a bird.,0
It is the case both that the leopard is a mammal and that the bee is a insect.,1
It is the case both that the wolverine is a mammal and that the porcupine is a mammal.,1
It is the case both that the deer is a mammal and that the leopard is a mammal.,1
It is the case both that the rat is a mammal and that the hippopotamus is a mammal.,1
It is the case both that the giraffe is a mammal and that the crocodile is a reptile.,1
It is the case both that the seagull is a bird and that the sea turtle is a fish.,0
It is the case both that the jellyfish is a cnidarian and that the koala is a mammal.,1
It is the case both that the octopus is a mollusk and that the bison is a mammal.,1
It is the case both that the chimpanzee is a mammal and that the crocodile is a reptile.,1
It is the case both that the elephant is a mammal and that the hippopotamus is a mammal.,1
It is the case both that the koala is a mammal and that the bat is a bird.,0
It is the case both that the sparrow is a bird and that the snake is a fish.,0
It is the case both that the mongoose is a mammal and that the bee is a insect.,1
It is the case both that the hippopotamus is a mammal and that the hyena is a bird.,0
It is the case both that the parrot is a mammal and that the cow is a mammal.,0
It is the case both that the salmon is a fish and that the hamster is a mammal.,1
It is the case both that the wolverine is a mammal and that the penguin is a bird.,1
It is the case both that the giraffe is a crustacean and that the tuna is a mammal.,0
It is the case both that the whale is a fish and that the axolotl is a reptile.,0
It is the case both that the octopus is a mollusk and that the camel is a mammal.,1
It is the case both that the pigeon is a bird and that the octopus is a fish.,0
It is the case both that the armadillo is a mammal and that the axolotl is a reptile.,0
It is the case both that the shark is a fish and that the giraffe is a crustacean.,0
It is the case both that the bison is a mammal and that the jellyfish is a cnidarian.,1
It is the case both that the rat is a mammal and that the dolphin is a crustacean.,0
It is the case both that the chimpanzee is a fish and that the otter is a mammal.,0
It is the case both that the shark is a fish and that the pigeon is a bird.,1
It is the case both that the hedgehog is a bird and that the chimpanzee is a fish.,0
It is the case both that the peacock is a bird and that the giant anteater is a fish.,0
It is the case both that the raccoon is a mammal and that the skunk is a reptile.,0
It is the case both that the whale is a mammal and that the bison is a mammal.,1
It is the case both that the chimpanzee is a mammal and that the walrus is a mammal.,1
It is the case both that the salmon is a reptile and that the slug is a mollusk.,0
It is the case both that the dog is a mammal and that the iguana is a reptile.,1
It is the case both that the seahorse is a fish and that the vulture is a bird.,1
It is the case both that the sparrow is a bird and that the jellyfish is a cnidarian.,1
It is the case both that the bee is a bird and that the bee is a bird.,0
It is the case both that the eagle is a bird and that the chicken is a bird.,1
It is the case both that the axolotl is a amphibian and that the rabbit is a bird.,0
It is the case both that the pigeon is a bird and that the giraffe is a crustacean.,0
It is the case both that the swan is a bird and that the platypus is a mammal.,1
It is the case both that the kangaroo is a mammal and that the platypus is a bird.,0
It is the case both that the wolverine is a mammal and that the ostrich is a fish.,0
It is the case both that the horse is a mammal and that the rhinoceros is a mammal.,1
It is the case both that the beaver is a mammal and that the rabbit is a mammal.,1
It is the case both that the alpaca is a bird and that the salmon is a fish.,0
It is the case both that the leopard is a bird and that the walrus is a mammal.,0
It is the case both that the gazelle is a mollusk and that the swan is a bird.,0
It is the case both that the giraffe is a crustacean and that the seahorse is a mammal.,0
It is the case both that the porcupine is a bird and that the peacock is a bird.,0
It is the case both that the peacock is a mammal and that the hedgehog is a bird.,0
It is the case both that the panda is a mammal and that the tapir is a bird.,0
It is the case both that the eagle is a bird and that the otter is a mammal.,1
It is the case both that the porcupine is a mammal and that the platypus is a bird.,0
It is the case both that the bee is a bird and that the polar bear is a fish.,0
It is the case both that the tiger is a mammal and that the iguana is a bird.,0
It is the case both that the skunk is a reptile and that the rat is a mammal.,0
It is the case both that the vulture is a bird and that the rat is a mammal.,1
It is the case both that the vulture is a bird and that the cat is a mammal.,1
It is the case both that the iguana is a bird and that the vulture is a fish.,0
It is the case both that the lobster is a mammal and that the raccoon is a mammal.,0
It is the case both that the chicken is a bird and that the zebra is a mammal.,1
It is the case both that the whale is a mammal and that the tuna is a fish.,1
It is the case both that the bat is a mammal and that the goat is a mammal.,1
It is the case both that the eagle is a bird and that the cow is a mammal.,1
It is the case both that the crocodile is a mammal and that the panda is a mammal.,0
It is the case both that the gazelle is a mammal and that the parrot is a mammal.,0
It is the case both that the rat is a bird and that the cat is a bird.,0
It is the case both that the cow is a mammal and that the slug is a mollusk.,1
It is the case both that the zebra is a fish and that the koala is a mammal.,0
It is the case both that the alpaca is a mammal and that the gecko is a reptile.,1
It is the case both that the deer is a mammal and that the hamster is a mammal.,1
It is the case both that the raccoon is a mammal and that the horse is a mammal.,1
It is the case both that the skunk is a mammal and that the sparrow is a bird.,1
It is the case both that the bat is a mammal and that the hyena is a mammal.,1
It is the case both that the bat is a bird and that the peacock is a mammal.,0
It is the case both that the lion is a mammal and that the alpaca is a mammal.,1
It is the case both that the rabbit is a bird and that the sparrow is a bird.,0
It is the case both that the chimpanzee is a mammal and that the rabbit is a mammal.,1
It is the case both that the goldfish is a fish and that the chicken is a bird.,1
It is the case both that the shark is a fish and that the tuna is a fish.,1
It is the case both that the wolverine is a mammal and that the chimpanzee is a mammal.,1
It is the case both that the bee is a insect and that the axolotl is a amphibian.,1
